# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
7.800000000000000E+008	-1.899363901844207E+001	-2.977938409424787E+000	-1.911021056844395E+001	-1.899363901844207E+001	-2.159697282469268E+000	-2.159697282469268E+000	-2.977938409424787E+000	-1.899363901844207E+001	
7.920000000000000E+008	-1.870777477056173E+001	-2.627933262345259E+000	-1.873183921283679E+001	-1.870777477056173E+001	-3.053654152685184E+000	-3.053654152685184E+000	-2.627933262345259E+000	-1.870777477056173E+001	
8.040000000000000E+008	-1.813620857082161E+001	-2.474066137450239E+000	-1.817233762762489E+001	-1.813620857082161E+001	-4.649461065200498E+000	-4.649461065200498E+000	-2.474066137450239E+000	-1.813620857082161E+001	
8.160000000000000E+008	-1.875901484148262E+001	-2.194503913051835E+000	-1.879551742285776E+001	-1.875901484148262E+001	-7.502182847358363E+000	-7.502182847358363E+000	-2.194503913051835E+000	-1.875901484148262E+001	
8.280000000000000E+008	-1.940015470933084E+001	-1.780543721778942E+000	-1.939261442078271E+001	-1.940015470933084E+001	-1.343925119851535E+001	-1.343925119851535E+001	-1.780543721778942E+000	-1.940015470933084E+001	
8.400000000000000E+008	-1.879922340451775E+001	-1.605807319213941E+000	-1.882071224199736E+001	-1.879922340451775E+001	-1.486964378647650E+001	-1.486964378647650E+001	-1.605807319213941E+000	-1.879922340451775E+001	
8.520000000000000E+008	-1.944619660403775E+001	-1.496551245422356E+000	-1.950268293195124E+001	-1.944619660403775E+001	-8.303783466536730E+000	-8.303783466536730E+000	-1.496551245422356E+000	-1.944619660403775E+001	
8.640000000000000E+008	-2.061949333234903E+001	-1.451978744130325E+000	-2.064386453034377E+001	-2.061949333234903E+001	-5.225699568355235E+000	-5.225699568355235E+000	-1.451978744130325E+000	-2.061949333234903E+001	
8.760000000000000E+008	-2.167492648822031E+001	-1.418641293236568E+000	-2.171575376291908E+001	-2.167492648822031E+001	-3.658870671610015E+000	-3.658870671610015E+000	-1.418641293236568E+000	-2.167492648822031E+001	
8.880000000000000E+008	-2.327037512210483E+001	-1.367278713431573E+000	-2.331101078322386E+001	-2.327037512210483E+001	-2.756067000803282E+000	-2.756067000803282E+000	-1.367278713431573E+000	-2.327037512210483E+001	
9.000000000000000E+008	-2.465334472665798E+001	-1.283929185802072E+000	-2.469377323746972E+001	-2.465334472665798E+001	-2.152434611186918E+000	-2.152434611186918E+000	-1.283929185802072E+000	-2.465334472665798E+001	
9.120000000000000E+008	-2.545092643219059E+001	-1.248628114619203E+000	-2.545253422927401E+001	-2.545092643219059E+001	-1.754563005539206E+000	-1.754563005539206E+000	-1.248628114619203E+000	-2.545092643219059E+001	
9.240000000000000E+008	-2.619814916175605E+001	-1.221765367897265E+000	-2.619454333558779E+001	-2.619814916175605E+001	-1.494900181198349E+000	-1.494900181198349E+000	-1.221765367897265E+000	-2.619814916175605E+001	
