        Frequency / MHz                S2,2 (31778)/abs,dB
                  1354.2                      -2.9039829
                  1356.8                      -2.9933775
                  1359.4                      -3.0868661
                    1362                      -3.1845807
                  1364.6                      -3.2866848
                  1367.2                      -3.3933465
                  1369.8                      -3.5047265
                  1372.4                      -3.6210232
                    1375                      -3.7424876
                  1377.6                      -3.8693963
                  1380.2                      -4.0020123
                  1382.8                      -4.1405182
                  1385.4                      -4.2850035
                    1388                      -4.4354724
                  1390.6                      -4.5919391
                  1393.2                      -4.7544927
                  1395.8                      -4.9232682
                  1398.4                      -5.0983188
                    1401                      -5.2793209
                  1403.6                      -5.4652928
                  1406.2                      -5.6544587
                  1408.8                      -5.8442065
                  1411.4                       -6.031164
                    1414                      -6.2111739
                  1416.6                      -6.3790415
                  1419.2                      -6.5279288
                  1421.8                      -6.6488886
                  1424.4                      -6.7312523
                    1427                      -6.7645288
                  1429.6                      -6.7418751
                  1432.2                      -6.6638975
                  1434.8                      -6.5406352
                  1437.4                      -6.3902629
                    1440                      -6.2351184
                  1442.6                       -6.096896
                  1445.2                       -5.993043
                  1447.8                      -5.9350489
                  1450.4                      -5.9282916
                    1453                      -5.9728676
                  1455.6                      -6.0647561
                  1458.2                      -6.1971577
                  1460.8                      -6.3619018
                  1463.4                      -6.5507963
                    1466                      -6.7567199
                  1468.6                      -6.9743212
                  1471.2                      -7.1999788
                  1473.8                      -7.4311905
                  1476.4                      -7.6658167
                    1479                      -7.9014261
                  1481.6                      -8.1351127
                  1484.2                      -8.3638423
                  1486.8                      -8.5849881
                  1489.4                      -8.7967764
                    1492                       -8.998238
                  1494.6                      -9.1887727
                  1497.2                      -9.3675428
                  1499.8                      -9.5330751
                  1502.4                      -9.6833846
                    1505                      -9.8164193
                  1507.6                      -9.9307242
                  1510.2                      -10.025784
                  1512.8                      -10.101938
                  1515.4                      -10.159859
                    1518                      -10.200074
                  1520.6                      -10.222689
                  1523.2                      -10.227565
                  1525.8                      -10.214793
                  1528.4                      -10.185075
                    1531                      -10.139842
                  1533.6                      -10.080995
                  1536.2                      -10.010447
                  1538.8                      -9.9297362
                  1541.4                      -9.8398945
                    1544                      -9.7416541
                  1546.6                      -9.6357613
                  1549.2                      -9.5232326
                  1551.8                      -9.4053937
                  1554.4                      -9.2836872
                    1557                      -9.1594194
                  1559.6                      -9.0335352
                  1562.2                      -8.9065539
                  1564.8                      -8.7787264
                  1567.4                      -8.6502584
                    1570                      -8.5215276
                  1572.6                      -8.3930791
                  1575.2                      -8.2655684
                  1577.8                       -8.139609
                  1580.4                      -8.0155846
                    1583                      -7.8935976
                  1585.6                      -7.7735691
                  1588.2                      -7.6553659
                  1590.8                      -7.5389674
                  1593.4                      -7.4245019
                    1596                        -7.31225
                  1598.6                      -7.2025049
                  1601.2                      -7.0954382
                  1603.8                       -6.991041
                  1606.4                      -6.8891335
                    1609                      -6.7894838
                  1611.6                      -6.6919394
                  1614.2                      -6.5964694
                  1616.8                      -6.5031902
                  1619.4                       -6.412277
                    1622                      -6.3238624
                  1624.6                      -6.2379167
