        Frequency / MHz                S2,2/abs,dB
                    1251                      -2.3623933
                  1253.1                      -2.3633621
                  1255.2                      -2.3645244
                  1257.3                      -2.3658785
                  1259.4                      -2.3674259
                  1261.5                      -2.3691633
                  1263.6                      -2.3710954
                  1265.7                      -2.3732197
                  1267.8                      -2.3755361
                  1269.9                      -2.3780434
                    1272                      -2.3807441
                  1274.1                      -2.3836362
                  1276.2                      -2.3867195
                  1278.3                      -2.3899962
                  1280.4                      -2.3934643
                  1282.5                      -2.3971244
                  1284.6                      -2.4009764
                  1286.7                        -2.40502
                  1288.8                      -2.4092552
                  1290.9                       -2.413681
                    1293                      -2.4182987
                  1295.1                      -2.4231067
                  1297.2                      -2.4281064
                  1299.3                       -2.433296
                  1301.4                      -2.4386757
                  1303.5                      -2.4442451
                  1305.6                      -2.4500053
                  1307.7                      -2.4559536
                  1309.8                      -2.4620916
                  1311.9                      -2.4684175
                    1314                      -2.4749312
                  1316.1                      -2.4816341
                  1318.2                      -2.4885237
                  1320.3                      -2.4956005
                  1322.4                      -2.5028655
                  1324.5                      -2.5103164
                  1326.6                      -2.5179545
                  1328.7                      -2.5257787
                  1330.8                      -2.5337896
                  1332.9                      -2.5419865
                    1335                      -2.5503695
                  1337.1                      -2.5589396
                  1339.2                      -2.5676967
                  1341.3                      -2.5766405
                  1343.4                      -2.5857718
                  1345.5                      -2.5950902
                  1347.6                      -2.6045975
                  1349.7                      -2.6142939
                  1351.8                      -2.6241796
                  1353.9                      -2.6342546
                    1356                      -2.6445233
                  1358.1                      -2.6549839
                  1360.2                      -2.6656378
                  1362.3                       -2.676487
                  1364.4                      -2.6875329
                  1366.5                      -2.6987762
                  1368.6                      -2.7102196
                  1370.7                      -2.7218637
                  1372.8                      -2.7337113
                  1374.9                      -2.7457639
                    1377                       -2.758024
                  1379.1                       -2.770493
                  1381.2                      -2.7831733
                  1383.3                      -2.7960671
                  1385.4                      -2.8091769
                  1387.5                      -2.8225053
                  1389.6                      -2.8360545
                  1391.7                      -2.8498276
                  1393.8                      -2.8638263
                  1395.9                      -2.8780536
                    1398                       -2.892513
                  1400.1                      -2.9072065
                  1402.2                      -2.9221362
                  1404.3                      -2.9373062
                  1406.4                      -2.9527192
                  1408.5                      -2.9683772
                  1410.6                      -2.9842833
                  1412.7                      -3.0004396
                  1414.8                      -3.0168507
                  1416.9                      -3.0335185
                    1419                      -3.0504453
                  1421.1                      -3.0676342
                  1423.2                      -3.0850883
                  1425.3                        -3.10281
                  1427.4                      -3.1208026
                  1429.5                      -3.1390674
                  1431.6                      -3.1576091
                  1433.7                      -3.1764297
                  1435.8                      -3.1955305
                  1437.9                      -3.2149164
                    1440                      -3.2345889
                  1442.1                      -3.2545515
                  1444.2                       -3.274806
                  1446.3                       -3.295355
                  1448.4                      -3.3162026
                  1450.5                       -3.337351
                  1452.6                      -3.3588023
                  1454.7                      -3.3805607
                  1456.8                      -3.4026287
                  1458.9                      -3.4250094
                    1461                      -3.4477065
                  1463.1                      -3.4707212
                  1465.2                       -3.494059
                  1467.3                      -3.5177225
                  1469.4                       -3.541715
                  1471.5                      -3.5660414
                  1473.6                      -3.5907054
                  1475.7                      -3.6157104
                  1477.8                      -3.6410614
                  1479.9                      -3.6667616
                    1482                      -3.6928175
                  1484.1                      -3.7192333
                  1486.2                      -3.7460132
                  1488.3                      -3.7731646
                  1490.4                      -3.8006922
                  1492.5                      -3.8286019
                  1494.6                      -3.8568998
                  1496.7                      -3.8855916
                  1498.8                      -3.9146863
                  1500.9                      -3.9441899
                    1503                      -3.9741096
                  1505.1                      -4.0044536
                  1507.2                      -4.0352297
                  1509.3                       -4.066446
                  1511.4                      -4.0981123
                  1513.5                      -4.1302354
                  1515.6                      -4.1628276
                  1517.7                      -4.1958979
                  1519.8                      -4.2294546
                  1521.9                       -4.263511
                    1524                      -4.2980767
                  1526.1                      -4.3331633
                  1528.2                      -4.3687821
                  1530.3                      -4.4049433
                  1532.4                      -4.4416626
                  1534.5                      -4.4789516
                  1536.6                      -4.5168215
                  1538.7                      -4.5552884
                  1540.8                      -4.5943657
                  1542.9                      -4.6340669
                    1545                      -4.6744089
                  1547.1                      -4.7154015
                  1549.2                      -4.7570658
                  1551.3                      -4.7994152
                  1553.4                      -4.8424648
                  1555.5                      -4.8862354
                  1557.6                      -4.9307423
                  1559.7                      -4.9760031
                  1561.8                      -5.0220369
                  1563.9                        -5.06886
                    1566                      -5.1164957
                  1568.1                      -5.1649629
                  1570.2                      -5.2142797
                  1572.3                      -5.2644718
                  1574.4                      -5.3155593
                  1576.5                      -5.3675645
                  1578.6                      -5.4205119
                  1580.7                      -5.4744227
                  1582.8                      -5.5293275
                  1584.9                      -5.5852498
                    1587                      -5.6422167
                  1589.1                      -5.7002569
                  1591.2                      -5.7593998
                  1593.3                      -5.8196757
                  1595.4                      -5.8811164
                  1597.5                      -5.9437519
                  1599.6                       -6.007623
                  1601.7                      -6.0727628
                  1603.8                      -6.1392043
                  1605.9                      -6.2069953
                    1608                      -6.2761712
                  1610.1                      -6.3467764
                  1612.2                      -6.4188548
                  1614.3                      -6.4924495
                  1616.4                      -6.5676158
                  1618.5                      -6.6444018
                  1620.6                      -6.7228573
                  1622.7                      -6.8030438
                  1624.8                      -6.8850168
                  1626.9                      -6.9688361
                    1629                      -7.0545706
                  1631.1                      -7.1422728
                  1633.2                      -7.2320242
                  1635.3                      -7.3238916
                  1637.4                       -7.417947
                  1639.5                      -7.5142776
                  1641.6                      -7.6129572
                  1643.7                      -7.7140739
                  1645.8                      -7.8177119
                  1647.9                       -7.923961
                    1650                      -8.0329225
                  1652.1                        -8.14469
                  1654.2                      -8.2593579
                  1656.3                       -8.377042
                  1658.4                      -8.4978462
                  1660.5                      -8.6218778
                  1662.6                      -8.7492515
                  1664.7                      -8.8800767
                  1666.8                      -9.0144815
                  1668.9                      -9.1525835
                    1671                      -9.2944992
                  1673.1                      -9.4403528
                  1675.2                      -9.5902659
                  1677.3                      -9.7443578
                  1679.4                      -9.9027477
                  1681.5                      -10.065538
                  1683.6                      -10.232857
                  1685.7                      -10.404797
                  1687.8                      -10.581439
                  1689.9                      -10.762877
                    1692                      -10.949163
                  1694.1                      -11.140334
                  1696.2                      -11.336404
                  1698.3                      -11.537339
                  1700.4                      -11.743096
                  1702.5                      -11.953554
