        Frequency                Csh=0.3/abs,dB
                  1666.8                      -17.045563
                  1668.9                      -17.030159
                    1671                      -17.015567
                  1673.1                      -17.001841
                  1675.2                       -16.98903
                  1677.3                      -16.977186
                  1679.4                       -16.96636
                  1681.5                      -16.956602
                  1683.6                       -16.94796
                  1685.7                      -16.940485
                  1687.8                      -16.934227
                  1689.9                      -16.929229
                    1692                      -16.925543
                  1694.1                      -16.923212
                  1696.2                      -16.922283
                  1698.3                      -16.922798
                  1700.4                      -16.924802
                  1702.5                      -16.928335
                  1704.6                      -16.933437
                  1706.7                      -16.940148
                  1708.8                      -16.948504
                  1710.9                      -16.958544
                    1713                      -16.970298
                  1715.1                      -16.983798
                  1717.2                      -16.999078
                  1719.3                      -17.016162
                  1721.4                      -17.035078
                  1723.5                       -17.05585
                  1725.6                        -17.0785
                  1727.7                      -17.103044
                  1729.8                      -17.129502
                  1731.9                      -17.157885
                    1734                      -17.188205
                  1736.1                      -17.220473
                  1738.2                      -17.254688
                  1740.3                      -17.290857
                  1742.4                      -17.328977
                  1744.5                      -17.369042
                  1746.6                      -17.411043
                  1748.7                      -17.454965
                  1750.8                      -17.500796
                  1752.9                      -17.548512
                    1755                      -17.598087
                  1757.1                      -17.649491
                  1759.2                      -17.702688
                  1761.3                      -17.757636
                  1763.4                      -17.814291
                  1765.5                      -17.872594
                  1767.6                      -17.932495
                  1769.7                      -17.993926
                  1771.8                      -18.056809
                  1773.9                      -18.121074
                    1776                      -18.186629
                  1778.1                      -18.253383
                  1780.2                       -18.32123
                  1782.3                      -18.390055
                  1784.4                      -18.459747
                  1786.5                      -18.530172
                  1788.6                      -18.601187
                  1790.7                      -18.672652
                  1792.8                      -18.744403
                  1794.9                      -18.816274
                    1797                      -18.888088
                  1799.1                      -18.959645
                  1801.2                      -19.030758
                  1803.3                      -19.101212
                  1805.4                      -19.170788
                  1807.5                      -19.239265
                  1809.6                      -19.306404
                  1811.7                      -19.371961
                  1813.8                      -19.435686
                  1815.9                      -19.497321
                    1818                      -19.556613
                  1820.1                      -19.613299
                  1822.2                      -19.667112
                  1824.3                      -19.717798
                  1826.4                      -19.765098
                  1828.5                      -19.808759
                  1830.6                      -19.848541
                  1832.7                      -19.884208
                  1834.8                      -19.915548
                  1836.9                      -19.942355
                    1839                      -19.964442
                  1841.1                      -19.981649
                  1843.2                      -19.993833
                  1845.3                      -20.000878
                  1847.4                      -20.002692
                  1849.5                      -19.999215
                  1851.6                      -19.990409
                  1853.7                      -19.976268
                  1855.8                      -19.956815
                  1857.9                      -19.932097
                    1860                      -19.902192
                  1862.1                      -19.867205
                  1864.2                      -19.827261
                  1866.3                      -19.782513
                  1868.4                      -19.733128
                  1870.5                      -19.679296
                  1872.6                      -19.621226
                  1874.7                      -19.559127
                  1876.8                      -19.493232
                  1878.9                      -19.423773
                    1881                      -19.351003
                  1883.1                      -19.275165
                  1885.2                        -19.1965
                  1887.3                      -19.115259
                  1889.4                      -19.031692
                  1891.5                      -18.946028
                  1893.6                      -18.858509
                  1895.7                      -18.769363
                  1897.8                      -18.678812
                  1899.9                      -18.587075
                    1902                      -18.494344
                  1904.1                      -18.400821
                  1906.2                      -18.306697
                  1908.3                      -18.212135
                  1910.4                      -18.117306
                  1912.5                      -18.022369
                  1914.6                      -17.927468
                  1916.7                      -17.832745
                  1918.8                      -17.738316
                  1920.9                        -17.6443
                    1923                      -17.550821
                  1925.1                      -17.457967
                  1927.2                      -17.365834
                  1929.3                       -17.27451
                  1931.4                      -17.184072
                  1933.5                      -17.094596
                  1935.6                      -17.006139
                  1937.7                      -16.918764
