2
Frequency=2600(MHz)

Phi	Theta	E(Phi). Real part	E(Phi). Imaginary part	E(Theta). Real part	E(Theta). Imaginary part	Gain . dB
0	2.4434609528	0.0569700002670288	-0.226400002837181	-0.676900029182434	0.334100008010864	-2.04593442992474
0	2.4933275028	0.0736199989914894	-0.239500001072884	-0.693400025367737	0.32379999756813	-1.88136774302334
0	2.5431940529	0.0882000029087067	-0.250999987125397	-0.702099978923798	0.316300004720688	-1.77982178867581
0	2.593060603	0.0995500013232231	-0.260500013828278	-0.701099991798401	0.311699986457825	-1.7622034619879
0	2.642927153	0.106799997389317	-0.267800003290176	-0.689400017261505	0.309799998998642	-1.84175620947535
0	2.6927937031	0.109499998390675	-0.272799998521805	-0.666599988937378	0.31020000576973	-2.0273960903696
0	2.7426602531	0.107600003480911	-0.275700002908707	-0.633000016212463	0.311800003051758	-2.32475685759648
0	2.7925268032	0.101700000464916	-0.276699990034103	-0.589600026607513	0.313199996948242	-2.73575840270145
0	2.8423933532	0.0926000028848648	-0.276100009679794	-0.538399994373322	0.312700003385544	-3.25633279623626
0	2.8922599033	0.0817100033164024	-0.274500012397766	-0.481599986553192	0.308699995279312	-3.87999622381465
0	2.9421264534	0.0705500021576881	-0.27250000834465	-0.421999990940094	0.299499988555908	-4.59648256797673
0	2.9919930034	0.0607400014996529	-0.270399987697601	-0.362199991941452	0.283699989318848	-5.398842616703
0	3.0418595535	0.0538499988615513	-0.268799990415573	-0.30469998717308	0.260500013828278	-6.27353813931165
0	3.0917261035	0.0511399991810322	-0.267899990081787	-0.251700013875961	0.229599997401237	-7.2020816864107
0	3.1415926536	0.0535500012338161	-0.267699986696243	-0.204500004649162	0.19149999320507	-8.15242195867452
0.049087385212	-3.1415926536	-0.063510000705719	0.276800006628037	0.20160000026226	-0.178200006484985	-8.15167896803296
0.049087385212	-3.0917261035	-0.0715100020170212	0.275799989700317	0.160199999809265	-0.134900003671646	-9.02946291824837
0.049087385212	-3.0418595535	-0.0852899998426437	0.274899989366531	0.124399997293949	-0.088019996881485	-9.74418619668908
0.049087385212	-2.9919930034	-0.10419999808073	0.273900002241135	0.093469999730587	-0.0401900000870228	-10.1668622966332
0.049087385212	-2.9421264534	-0.127000004053116	0.272399991750717	0.0658600032329559	0.00551400007680058	-10.236559793654
0.049087385212	-2.8922599033	-0.152300000190735	0.269800007343292	0.0397300012409687	0.0458000004291534	-10.0146409596712
0.049087385212	-2.8423933532	-0.178399994969368	0.265899986028671	0.012980000115931	0.0774300023913383	-9.63797439550227
0.049087385212	-2.7925268032	-0.203500002622604	0.260199993848801	-0.016499999910593	0.097510002553463	-9.24830058650187
0.049087385212	-2.7426602531	-0.226099997758865	0.252600014209747	-0.0505699999630451	0.103699997067451	-8.91979909573548
0.049087385212	-2.6927937031	-0.245000004768372	0.243000000715256	-0.0906800031661987	0.094530001282692	-8.65718359287397
0.049087385212	-2.642927153	-0.259099990129471	0.23139999806881	-0.137700006365776	0.069300003349781	-8.4030486450813
0.049087385212	-2.593060603	-0.268200010061264	0.218099996447563	-0.191899999976158	0.0284100007265806	-8.0373648941586
0.049087385212	-2.5431940529	-0.272199988365173	0.203400000929832	-0.252900004386902	-0.0268099997192621	-7.44386026770294
0.049087385212	-2.4933275028	-0.271699994802475	0.187800005078316	-0.319700002670288	-0.094149999320507	-6.57257553057191
0.049087385212	-2.4434609528	-0.267500013113022	0.171900004148483	-0.391000002622604	-0.170699998736382	-5.48021228334079
0.049087385212	-2.3935944027	-0.260600000619888	0.156100004911423	-0.464899986982346	-0.253100007772446	-4.28907320901738
0.049087385212	-2.3437278527	-0.25229999423027	0.140900000929832	-0.539900004863739	-0.337700009346008	-3.10654366026076
0.049087385212	-2.2938613026	-0.243499994277954	0.126499995589256	-0.614099979400635	-0.420899987220764	-2.00955919756998
0.049087385212	-2.2439947526	-0.235100001096725	0.113300003111362	-0.686100006103516	-0.499399989843369	-1.03340169633372
0.049087385212	-2.1941282025	-0.227799996733665	0.101199999451637	-0.754899978637695	-0.57039999961853	-0.189227188498301
0.049087385212	-2.1442616525	-0.221699997782707	0.0900600031018257	-0.819500029087067	-0.631600022315979	0.522169097193168
0.049087385212	-2.0943951024	-0.216600000858307	0.0796599984169006	-0.879800021648407	-0.681400001049042	1.11133185993278
0.049087385212	-2.0445285523	-0.212200000882149	0.0696299970149994	-0.935599982738495	-0.7189000248909	1.5897783436599
0.049087385212	-1.9946620023	-0.207800000905991	0.059519998729229	-0.986999988555908	-0.743900001049042	1.97081884205176
0.049087385212	-1.9447954522	-0.202500000596046	0.0489000007510185	-1.03400003910065	-0.756600022315979	2.26599166762684
0.049087385212	-1.8949289022	-0.195500001311302	0.0373900011181831	-1.07799994945526	-0.757499992847443	2.49322729566588
0.049087385212	-1.8450623521	-0.186199992895126	0.0246799997985363	-1.11699998378754	-0.747600018978119	2.65259986231927
0.049087385212	-1.7951958021	-0.174199998378754	0.0105999996885657	-1.15100002288818	-0.727800011634827	2.75300274489068
0.049087385212	-1.745329252	-0.159199997782707	-0.00486900005489588	-1.18099999427795	-0.699000000953674	2.80744575533722
0.049087385212	-1.6954627019	-0.141699999570847	-0.0216300003230572	-1.20299994945526	-0.66210001707077	2.80152985484563
