# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.428000000000000E+009	-1.636725069594182E+000	-1.132466428463234E+000	-2.871783719996250E+001	
1.440000000000000E+009	-1.666676034349034E+000	-1.158405918074642E+000	-2.840448130141292E+001	
1.452000000000000E+009	-1.705565683753461E+000	-1.165979125252036E+000	-2.840017804721271E+001	
1.464000000000000E+009	-1.720058399887054E+000	-1.188505022009998E+000	-2.838481101433511E+001	
1.476000000000000E+009	-1.733722787643972E+000	-1.193846415036841E+000	-2.837443950251581E+001	
1.488000000000000E+009	-1.750752589243520E+000	-1.240651189227193E+000	-2.787267518662746E+001	
1.500000000000000E+009	-1.766833555467664E+000	-1.287325150083035E+000	-2.741597636397939E+001	
1.512000000000000E+009	-1.805970481937136E+000	-1.336035650473989E+000	-2.708401447133050E+001	
1.524000000000000E+009	-1.891486644831480E+000	-1.403374051949408E+000	-2.656201291029612E+001	
1.536000000000000E+009	-1.949001313898621E+000	-1.468462903631505E+000	-2.612112711437044E+001	
1.548000000000000E+009	-1.982574896794928E+000	-1.533483956130248E+000	-2.579102607505075E+001	
1.560000000000000E+009	-2.008575751456760E+000	-1.583860363243356E+000	-2.550626476827834E+001	
1.572000000000000E+009	-2.026292529260594E+000	-1.644679697849661E+000	-2.532728622729665E+001	
1.584000000000000E+009	-2.031258113157002E+000	-1.721537724992748E+000	-2.502528900837569E+001	
1.596000000000000E+009	-2.024842468287054E+000	-1.821346777495813E+000	-2.478952231193174E+001	
1.608000000000000E+009	-2.078991427663391E+000	-1.928916698620822E+000	-2.474427821869295E+001	
1.620000000000000E+009	-2.200700660757078E+000	-2.089298241673253E+000	-2.460980099427099E+001	
1.632000000000000E+009	-2.284339003877272E+000	-2.224369221690738E+000	-2.430379676364663E+001	
1.644000000000000E+009	-2.255657437274748E+000	-2.228023198086579E+000	-2.390555591490396E+001	
