# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
8.760000000000000E+008	-1.087920815918057E+001	-1.135064693612095E+000	-2.155662020326946E+001	
8.880000000000000E+008	-1.099567994121924E+001	-1.383129305325061E+000	-2.054436699038713E+001	
9.000000000000000E+008	-1.079948742661721E+001	-1.723095677370951E+000	-1.956291940121258E+001	
9.120000000000000E+008	-1.020999308505413E+001	-2.207880255295003E+000	-1.818603098935592E+001	
9.240000000000000E+008	-9.168806194897950E+000	-2.979503800840418E+000	-1.696968873647240E+001	
9.360000000000000E+008	-8.657578310139790E+000	-4.213051929636413E+000	-1.592764959127310E+001	
9.480000000000000E+008	-7.859923449260223E+000	-6.370026644099801E+000	-1.531658873098925E+001	
9.600000000000000E+008	-6.622970724365808E+000	-1.020171957702777E+001	-1.523991017276569E+001	
9.720000000000000E+008	-5.837056901811407E+000	-2.111813654927786E+001	-1.522912823044604E+001	
9.840000000000000E+008	-5.164100442537856E+000	-1.570708379506950E+001	-1.573518801873047E+001	
9.960000000000000E+008	-4.726987262387969E+000	-9.274509050819395E+000	-1.654596680601281E+001	
1.008000000000000E+009	-4.428279662897010E+000	-6.357085101472921E+000	-1.777111180839597E+001	
1.020000000000000E+009	-4.113263622573319E+000	-4.707856040937415E+000	-1.912342920179729E+001	
1.032000000000000E+009	-3.924237011609145E+000	-3.675284546378004E+000	-2.016311734258145E+001	
1.044000000000000E+009	-3.703433907537221E+000	-2.932823571994055E+000	-2.084682815326514E+001	
1.056000000000000E+009	-3.454525802967677E+000	-2.384061976488148E+000	-2.223218630279008E+001	
1.068000000000000E+009	-3.243827042121614E+000	-2.021799773185439E+000	-2.336496197606156E+001	
1.080000000000000E+009	-3.000890507050410E+000	-1.733988662001819E+000	-2.461621867639093E+001	
1.092000000000000E+009	-2.821778524968240E+000	-1.514251379329353E+000	-2.556277113573913E+001	
1.104000000000000E+009	-2.705323906778237E+000	-1.337140484039369E+000	-2.674157849671792E+001	
1.116000000000000E+009	-2.491726677985612E+000	-1.209490747876050E+000	-2.756048263315949E+001	
1.128000000000000E+009	-2.365594497134896E+000	-1.137101175654745E+000	-2.776328915276272E+001	
1.140000000000000E+009	-2.275100176131768E+000	-1.064995861067425E+000	-2.855856849476279E+001	
1.152000000000000E+009	-2.225953887282596E+000	-1.029364734272977E+000	-2.896882813075449E+001	
1.164000000000000E+009	-2.143757858451393E+000	-1.011366151884267E+000	-2.925235938278230E+001	
1.176000000000000E+009	-2.074893173839890E+000	-9.270287596414126E-001	-2.918297762898468E+001	
1.188000000000000E+009	-1.982704817022369E+000	-8.973617123585774E-001	-2.985521598840196E+001	
1.200000000000000E+009	-1.899856057638822E+000	-8.876019172003674E-001	-2.983116387493581E+001	
1.212000000000000E+009	-1.832532997056972E+000	-8.610140127143434E-001	-2.994770427219724E+001	
1.224000000000000E+009	-1.773786423083161E+000	-8.669684787912459E-001	-3.002540471670040E+001	
1.236000000000000E+009	-1.706701845000009E+000	-8.513739455612599E-001	-3.053552574272300E+001	
