# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.260000000000000E+009	-1.628062601924863E+000	-8.830898065505601E-001	-3.088515980929049E+001	
1.272000000000000E+009	-1.622726234630899E+000	-8.846836803886060E-001	-3.086379311733384E+001	
1.284000000000000E+009	-1.633407889340463E+000	-8.907893792000411E-001	-3.065687888159873E+001	
1.296000000000000E+009	-1.628427988173149E+000	-8.854147634999361E-001	-3.070687178835492E+001	
1.308000000000000E+009	-1.602421932405707E+000	-9.234260039572099E-001	-3.071384245330423E+001	
1.320000000000000E+009	-1.573053950291177E+000	-9.545529271021424E-001	-3.084963537749189E+001	
1.332000000000000E+009	-1.555219558080705E+000	-9.875615488917556E-001	-3.074641119752227E+001	
1.344000000000000E+009	-1.582244495957625E+000	-1.003922448056516E+000	-3.043417323572156E+001	
1.356000000000000E+009	-1.574529458133557E+000	-1.031385171975014E+000	-3.043240268176435E+001	
1.368000000000000E+009	-1.557897539185544E+000	-1.010441517620109E+000	-3.057439612139687E+001	
1.380000000000000E+009	-1.560767097082028E+000	-1.011130261945174E+000	-3.043834022040955E+001	
1.392000000000000E+009	-1.570072133763816E+000	-1.018858774576011E+000	-3.057082739584150E+001	
1.404000000000000E+009	-1.567603336732496E+000	-1.053649287581699E+000	-3.062537916819560E+001	
1.416000000000000E+009	-1.553355213254785E+000	-1.083348408545532E+000	-3.064928059975903E+001	
1.428000000000000E+009	-1.539182616336513E+000	-1.124771442173993E+000	-3.037359491663459E+001	
1.440000000000000E+009	-1.542380322537864E+000	-1.151730691936767E+000	-3.012889515529751E+001	
1.452000000000000E+009	-1.574380719679944E+000	-1.153222735238225E+000	-3.010385801429465E+001	
1.464000000000000E+009	-1.598362280745615E+000	-1.180339367454171E+000	-2.977861421671559E+001	
1.476000000000000E+009	-1.627404048044253E+000	-1.206575605573238E+000	-2.952347557207479E+001	
1.488000000000000E+009	-1.650126857614507E+000	-1.242924939137068E+000	-2.906279157845464E+001	
1.500000000000000E+009	-1.692729729850441E+000	-1.289421005101667E+000	-2.845340064162547E+001	
1.512000000000000E+009	-1.745080439654852E+000	-1.362274110724694E+000	-2.790727583013626E+001	
1.524000000000000E+009	-1.813804834410213E+000	-1.425119861402273E+000	-2.747138886594934E+001	
1.536000000000000E+009	-1.875506271780212E+000	-1.501390561637680E+000	-2.670909379483656E+001	
1.548000000000000E+009	-1.932182127293725E+000	-1.568334551570586E+000	-2.620264170244104E+001	
1.560000000000000E+009	-1.966605154425075E+000	-1.622289558429775E+000	-2.573631995007327E+001	
1.572000000000000E+009	-2.007843603336903E+000	-1.698178627231469E+000	-2.537992545711368E+001	
1.584000000000000E+009	-2.038143856584715E+000	-1.785387366741797E+000	-2.516118075183288E+001	
1.596000000000000E+009	-2.064621991622812E+000	-1.857601699183587E+000	-2.513146750423586E+001	
1.608000000000000E+009	-2.153237553037264E+000	-1.908650570865756E+000	-2.477835634541260E+001	
1.620000000000000E+009	-2.295432230687032E+000	-2.070808395940295E+000	-2.468317715394788E+001	
1.632000000000000E+009	-2.401576760293716E+000	-2.162546991035309E+000	-2.436877384841213E+001	
1.644000000000000E+009	-2.355341853109450E+000	-2.157681754431865E+000	-2.408319897718461E+001	
1.656000000000000E+009	-2.347220646369800E+000	-2.195217209269650E+000	-2.387464465011917E+001	
1.668000000000000E+009	-2.369335945751257E+000	-2.278532022131132E+000	-2.354844565393831E+001	
1.680000000000000E+009	-2.404801461653309E+000	-2.376285538214499E+000	-2.336978443079345E+001	
1.692000000000000E+009	-2.466511083470085E+000	-2.554622136676584E+000	-2.300590860298707E+001	
1.704000000000000E+009	-2.538388991955102E+000	-2.700917648429665E+000	-2.286039673245496E+001	
1.716000000000000E+009	-2.612866691949859E+000	-2.899608772299814E+000	-2.230620576833019E+001	
