# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
1.032000000000000E+009	-1.874312392727210E+001	-3.999787597528655E+000	-1.875156059279787E+001	-1.874312392727210E+001	-3.483435932445966E+000	-3.483435932445966E+000	-3.999787597528655E+000	-1.874312392727210E+001	
1.044000000000000E+009	-1.992634468543234E+001	-3.534718592723275E+000	-1.993805872589586E+001	-1.992634468543234E+001	-2.910778820983957E+000	-2.910778820983957E+000	-3.534718592723275E+000	-1.992634468543234E+001	
1.056000000000000E+009	-2.132756859118668E+001	-3.094588360827514E+000	-2.133538748663404E+001	-2.132756859118668E+001	-2.502586810245707E+000	-2.502586810245707E+000	-3.094588360827514E+000	-2.132756859118668E+001	
1.068000000000000E+009	-2.219089062579422E+001	-2.882666692398077E+000	-2.220330888867577E+001	-2.219089062579422E+001	-2.198985841412874E+000	-2.198985841412874E+000	-2.882666692398077E+000	-2.219089062579422E+001	
1.080000000000000E+009	-2.328382344733946E+001	-2.720314798473092E+000	-2.330041746531754E+001	-2.328382344733946E+001	-1.975680550553983E+000	-1.975680550553983E+000	-2.720314798473092E+000	-2.328382344733946E+001	
1.092000000000000E+009	-2.424823454095508E+001	-2.524191443920438E+000	-2.427725967537616E+001	-2.424823454095508E+001	-1.771323750574468E+000	-1.771323750574468E+000	-2.524191443920438E+000	-2.424823454095508E+001	
1.104000000000000E+009	-2.511363215074153E+001	-2.366647547803776E+000	-2.513221049213646E+001	-2.511363215074153E+001	-1.629731011197024E+000	-1.629731011197024E+000	-2.366647547803776E+000	-2.511363215074153E+001	
1.116000000000000E+009	-2.559362901911286E+001	-2.197345042709102E+000	-2.561387816179618E+001	-2.559362901911286E+001	-1.525993277235047E+000	-1.525993277235047E+000	-2.197345042709102E+000	-2.559362901911286E+001	
1.128000000000000E+009	-2.556126950349921E+001	-2.115808695503270E+000	-2.552875107425274E+001	-2.556126950349921E+001	-1.493535519579230E+000	-1.493535519579230E+000	-2.115808695503270E+000	-2.556126950349921E+001	
1.140000000000000E+009	-2.589515640357663E+001	-2.074415675833234E+000	-2.586801682723515E+001	-2.589515640357663E+001	-1.420252215907427E+000	-1.420252215907427E+000	-2.074415675833234E+000	-2.589515640357663E+001	
