        Frequency / GHz                c2=6/real
               1.8157895                    0.0043134472
               1.9473684                     0.025748692
               2.0789474                      0.05439324
               2.2105263                     0.074597924
               2.3421053                     0.073984225
               2.4736842                     0.020463833
               2.6052632                    0.0041851896
               2.7368421                    0.0046666736
               2.8684211                     0.041581278
                       3                      0.10767526

        Frequency / GHz                c2=5.7/real
----------------------------------------------------------------------
                     0.5                      0.87632539
              0.63157895                      0.61746805
              0.76315789                      0.58962917
              0.89473684                      0.57683398
               1.0263158                      0.25077905
               1.1578947                      0.02556978
               1.2894737                     0.027272451
               1.4210526                     0.040141927
               1.5526316                     0.034508321
               1.6842105                      0.05809125
               1.8157895                    0.0042479844
               1.9473684                     0.024170899
               2.0789474                     0.058222292
               2.2105263                     0.074488556
               2.3421053                     0.073246653
               2.4736842                     0.020279608
               2.6052632                    0.0041201635
               2.7368421                    0.0047994375
               2.8684211                     0.041929709
                       3                      0.10808648

