        Frequency / MHz                S1,1 (31765)/abs,dB
                  1796.2                      -2.7312921
                  1798.8                       -2.760532
                  1801.4                      -2.7741128
                    1804                      -2.7703104
                  1806.6                      -2.7495644
                  1809.2                      -2.7145862
                  1811.8                      -2.6697699
                  1814.4                      -2.6201662
                    1817                      -2.5704751
                  1819.6                      -2.5243696
                  1822.2                      -2.4842397
                  1824.8                      -2.4512958
                  1827.4                      -2.4258506
                    1830                      -2.4076309
                  1832.6                      -2.3960506
                  1835.2                      -2.3904044
                  1837.8                      -2.3899803
                  1840.4                      -2.3941051
                    1843                      -2.4021615
                  1845.6                      -2.4136001
                  1848.2                      -2.4279433
                  1850.8                      -2.4447907
                  1853.4                      -2.4638247
                    1856                      -2.4847848
                  1858.6                      -2.5074537
                  1861.2                      -2.5316356
                  1863.8                      -2.5571499
                  1866.4                      -2.5838361
                    1869                      -2.6115605
                  1871.6                      -2.6402129
                  1874.2                      -2.6697139
                  1876.8                      -2.6999859
                  1879.4                      -2.7309436
                    1882                      -2.7624853
                  1884.6                      -2.7945132
                  1887.2                      -2.8269413
                  1889.8                      -2.8596929
                  1892.4                      -2.8927109
                    1895                      -2.9259426
                  1897.6                      -2.9593154
                  1900.2                      -2.9927409
                  1902.8                      -3.0261188
                  1905.4                      -3.0593646
                    1908                      -3.0924059
                  1910.6                      -3.1251935
                  1913.2                      -3.1576843
                  1915.8                       -3.189822
                  1918.4                      -3.2215356
                    1921                       -3.252743
                  1923.6                      -3.2833628
                  1926.2                      -3.3133474
                  1928.8                      -3.3426738
                  1931.4                      -3.3713313
                    1934                      -3.3992995
                  1936.6                       -3.426544
                  1939.2                      -3.4530192
                  1941.8                      -3.4786724
                  1944.4                      -3.5034861
                    1947                      -3.5274696
                  1949.6                       -3.550649
                  1952.2                      -3.5730483
                  1954.8                      -3.5946713
                  1957.4                      -3.6155044
                    1960                      -3.6355251
                  1962.6                      -3.6547296
                  1965.2                      -3.6731504
                  1967.8                      -3.6908345
                  1970.4                      -3.7078362
                    1973                       -3.724185
                  1975.6                      -3.7398819
                  1978.2                      -3.7549194
                  1980.8                      -3.7692968
                  1983.4                      -3.7830461
                    1986                      -3.7962197
                  1988.6                      -3.8088796
                  1991.2                      -3.8210685
                  1993.8                      -3.8327981
                  1996.4                      -3.8440605
                    1999                      -3.8548482
                  2001.6                      -3.8651809
                  2004.2                      -3.8751047
                  2006.8                      -3.8846785
                  2009.4                      -3.8939517
                    2012                      -3.9029439
                  2014.6                      -3.9116441
                  2017.2                      -3.9200388
                  2019.8                      -3.9281279
                  2022.4                      -3.9359479
                    2025                      -3.9435521
                  2027.6                      -3.9509912
                  2030.2                      -3.9582882
                  2032.8                      -3.9654405
                  2035.4                      -3.9724273
                    2038                      -3.9792342
                  2040.6                      -3.9858821
                  2043.2                      -3.9924157
                  2045.8                      -3.9988873
                  2048.4                       -4.005327
                    2051                      -4.0117375
                  2053.6                      -4.0180987
                  2056.2                      -4.0243903
                  2058.8                      -4.0306128
                  2061.4                      -4.0368024
                    2064                      -4.0430079
                  2066.6                      -4.0492699
                  2069.2                      -4.0556002
                  2071.8                      -4.0619743
                  2074.4                      -4.0683794
                    2077                      -4.0748005
                  2079.6                      -4.0812507
                  2082.2                      -4.0877881
                  2084.8                       -4.094448
                  2087.4                      -4.1012543
                    2090                      -4.1081982
                  2092.6                      -4.1152542
                  2095.2                      -4.1224021
                  2097.8                      -4.1296541
                  2100.4                      -4.1370407
                    2103                      -4.1446055
                  2105.6                      -4.1523895
