        Frequency / MHz                S1,1/abs,dB
                  1489.4                     -0.22640801
                    1492                     -0.23393595
                  1494.6                     -0.24177396
                  1497.2                      -0.2499297
                  1499.8                     -0.25841527
                  1502.4                     -0.26724492
                    1505                     -0.27643126
                  1507.6                     -0.28598341
                  1510.2                     -0.29590869
                  1512.8                     -0.30621526
                  1515.4                     -0.31691517
                    1518                     -0.32802547
                  1520.6                     -0.33956724
                  1523.2                     -0.35156185
                  1525.8                     -0.36402644
                  1528.4                     -0.37697492
                    1531                     -0.39042036
                  1533.6                     -0.40437834
                  1536.2                      -0.4188704
                  1538.8                     -0.43392359
                  1541.4                     -0.44956772
                    1544                     -0.46582955
                  1546.6                     -0.48273177
                  1549.2                     -0.50029335
                  1551.8                     -0.51853471
                  1554.4                     -0.53748282
                    1557                     -0.55717194
                  1559.6                     -0.57764032
                  1562.2                     -0.59892734
                  1564.8                     -0.62106758
                  1567.4                     -0.64408986
                    1570                     -0.66802058
                  1572.6                     -0.69289382
                  1575.2                     -0.71875243
                  1577.8                     -0.74564619
                  1580.4                     -0.77362895
                    1583                     -0.80275153
                  1585.6                     -0.83305644
                  1588.2                     -0.86458245
                  1590.8                     -0.89737062
                  1593.4                      -0.9314743
                    1596                     -0.96695778
                  1598.6                      -1.0038934
                  1601.2                      -1.0423523
                  1603.8                      -1.0823975
                  1606.4                      -1.1240853
                    1609                      -1.1674705
                  1611.6                       -1.212615
                  1614.2                      -1.2596007
                  1616.8                      -1.3085229
                  1619.4                      -1.3594806
                    1622                      -1.4125631
                  1624.6                      -1.4678526
                  1627.2                      -1.5254245
                  1629.8                      -1.5853556
                  1632.4                      -1.6477441
                    1635                      -1.7127116
                  1637.6                      -1.7803901
                  1640.2                      -1.8509097
                  1642.8                       -1.924386
                  1645.4                      -2.0009246
                    1648                      -2.0806269
                  1650.6                      -2.1636117
                  1653.2                      -2.2500272
                  1655.8                      -2.3400446
                  1658.4                      -2.4338473
                    1661                      -2.5316039
                  1663.6                      -2.6334578
                  1666.2                      -2.7395514
                  1668.8                       -2.850037
                  1671.4                      -2.9650986
                    1674                      -3.0849506
                  1676.6                      -3.2098427
                  1679.2                      -3.3400231
                  1681.8                      -3.4757069
                  1684.4                      -3.6170956
                    1687                      -3.7644016
                  1689.6                       -3.917864
                  1692.2                      -4.0777763
                  1694.8                      -4.2444768
                  1697.4                      -4.4183338
                    1700                      -4.5996914
                  1702.6                       -4.788878
                  1705.2                      -4.9862206
                  1707.8                      -5.1920774
                  1710.4                      -5.4068979
                    1713                      -5.6312091
                  1715.6                      -5.8655743
                  1718.2                      -6.1106079
                  1720.8                      -6.3669121
                  1723.4                      -6.6350985
                    1726                      -6.9158225
                  1728.6                      -7.2098867
                  1731.2                      -7.5182548
                  1733.8                       -7.841991
                  1736.4                      -8.1822742
                    1739                      -8.5403581
                  1741.6                      -8.9175394
                  1744.2                      -9.3152551
                  1746.8                      -9.7351425
                  1749.4                      -10.179134
                    1752                      -10.649374
                  1754.6                      -11.148138
                  1757.2                      -11.677675
                  1759.8                      -12.240019
                  1762.4                       -12.83686
                    1765                      -13.469127
                  1767.6                       -14.13626
                  1770.2                      -14.834968
                  1772.8                      -15.556839
                  1775.4                      -16.284969
                    1778                      -16.989972
                  1780.6                      -17.627148
                  1783.2                      -18.138097
                  1785.8                      -18.462236
                  1788.4                      -18.558668
                    1791                      -18.427401
                  1793.6                      -18.112923
                  1796.2                      -17.686575
                  1798.8                      -17.222633
                  1801.4                      -16.782499
                    1804                      -16.410034
                  1806.6                      -16.132928
                  1809.2                      -15.966333
                  1811.8                      -15.916439
                  1814.4                      -15.983226
                    1817                      -16.162644
                  1819.6                      -16.448028
                  1822.2                      -16.831166
                  1824.8                      -17.303086
                  1827.4                       -17.85455
                    1830                      -18.476107
                  1832.6                      -19.157937
                  1835.2                      -19.888766
                  1837.8                        -20.6541
                  1840.4                      -21.434026
                    1843                      -22.200533
                  1845.6                      -22.915532
                  1848.2                      -23.531724
                  1850.8                      -23.998781
                  1853.4                      -24.275764
                    1856                      -24.345085
                  1858.6                      -24.219379
                  1861.2                      -23.935602
                  1863.8                      -23.540983
                  1866.4                      -23.080184
                    1869                      -22.588637
                  1871.6                      -22.091368
                  1874.2                      -21.604746
                  1876.8                      -21.138668
                  1879.4                      -20.698567
                    1882                      -20.286805
                  1884.6                      -19.903738
                  1887.2                      -19.548553
                  1889.8                      -19.219917
                  1892.4                      -18.916366
                    1895                      -18.636523
                  1897.6                      -18.379066
                  1900.2                      -18.142593
                  1902.8                      -17.925563
                  1905.4                      -17.726367
                    1908                      -17.543404
                  1910.6                      -17.375331
                  1913.2                      -17.221074
                  1915.8                      -17.079794
                  1918.4                      -16.950724
                    1921                      -16.832989
                  1923.6                      -16.725574
                  1926.2                      -16.627434
                  1928.8                       -16.53763
                  1931.4                      -16.455451
                    1934                      -16.380407
                  1936.6                      -16.312118
                  1939.2                      -16.250133
                  1941.8                      -16.193809
                  1944.4                      -16.142413
                    1947                      -16.095235
                  1949.6                      -16.051725
                  1952.2                       -16.01158
                  1954.8                      -15.974592
                  1957.4                      -15.940555
                    1960                      -15.909082
                  1962.6                      -15.879645
                  1965.2                      -15.851673
                  1967.8                      -15.824726
                  1970.4                      -15.798574
                    1973                      -15.773151
                  1975.6                      -15.748393
                  1978.2                      -15.724117
                  1980.8                      -15.699962
                  1983.4                      -15.675487
                    1986                      -15.650328
                  1988.6                      -15.624319
                  1991.2                      -15.597495
                  1993.8                      -15.569932
                  1996.4                      -15.541592
                    1999                      -15.512293
                  2001.6                      -15.481718
                  2004.2                      -15.449589
                  2006.8                      -15.415782
                  2009.4                       -15.38041
                    2012                       -15.34366
                  2014.6                      -15.305657
                  2017.2                      -15.266355
                  2019.8                       -15.22557
                  2022.4                      -15.183102
                    2025                      -15.138886
                  2027.6                      -15.093054
                  2030.2                      -15.045872
                  2032.8                      -14.997577
                  2035.4                      -14.948277
                    2038                      -14.897908
                  2040.6                      -14.846326
                  2043.2                      -14.793488
                  2045.8                      -14.739512
