# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S21	ang:Trc2_S21	db:Trc3_S22	ang:Trc3_S22	
1.862500000000000E+009	-9.677335272958473E+000	1.597388547529321E+002	-2.040236910749920E+001	8.114984059446024E+001	-6.309312259380401E+000	1.243869140294872E+002	
1.875000000000000E+009	-8.708536002734334E+000	1.538663385078303E+002	-1.964482311366773E+001	7.333613736932605E+001	-6.161899930833728E+000	1.160870474170756E+002	
1.887500000000000E+009	-7.724682868582871E+000	1.460548273908568E+002	-1.880187551634539E+001	6.515051236541437E+001	-5.937584618458824E+000	1.088607755086090E+002	
1.900000000000000E+009	-6.987151876919739E+000	1.377992605013525E+002	-1.803557125831255E+001	5.462565115136376E+001	-5.764199208682616E+000	1.004005883117021E+002	
1.912500000000000E+009	-6.477209877231816E+000	1.289837649528683E+002	-1.750787431793531E+001	4.264292834498812E+001	-5.791883810948828E+000	9.297574640989174E+001	
1.925000000000000E+009	-5.995958415278332E+000	1.211472106792530E+002	-1.717266825256102E+001	3.187243625252670E+001	-5.761903775331301E+000	8.591853488984161E+001	
1.937500000000000E+009	-5.628484697759751E+000	1.119685494298094E+002	-1.666918686859167E+001	2.119038458957261E+001	-5.673975392960722E+000	7.907467825639603E+001	
1.950000000000000E+009	-5.421156108956831E+000	1.034248712491390E+002	-1.643848101208839E+001	8.852671672615832E+000	-5.669669225024083E+000	7.220860114369216E+001	
1.962500000000000E+009	-5.382758069385094E+000	9.537313385162757E+001	-1.624887954789918E+001	-3.242667553979070E+000	-5.604716029586628E+000	6.569056247189353E+001	
1.975000000000000E+009	-5.296451978656229E+000	8.841289090657108E+001	-1.634535880652343E+001	-1.447014720381439E+001	-5.589338123326598E+000	5.947531334819635E+001	
1.987500000000000E+009	-5.183234246619887E+000	8.106404286614877E+001	-1.637553258365687E+001	-2.509939000847579E+001	-5.543025666996654E+000	5.354602823033586E+001	
2.000000000000000E+009	-5.213075278448215E+000	7.414502438007325E+001	-1.635582805221024E+001	-3.544781104140074E+001	-5.480501732915549E+000	4.789325337430505E+001	
2.012500000000000E+009	-5.201488123779303E+000	6.776142817675546E+001	-1.656387141911073E+001	-4.654038873825584E+001	-5.398116930221736E+000	4.212836086915207E+001	
