# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
8.640000000000000E+008	-1.187953908608625E+000	-7.983385972225544E+000	-2.227011136042123E+001	
8.760000000000000E+008	-1.349534660278629E+000	-8.437434871111543E+000	-2.204055941942187E+001	
8.880000000000000E+008	-1.534644225686433E+000	-9.437656617583270E+000	-2.136895100451374E+001	
9.000000000000000E+008	-1.783792888073229E+000	-1.069788885550578E+001	-2.002628965511915E+001	
9.120000000000000E+008	-2.075233959701123E+000	-1.182861879914356E+001	-1.858564503538100E+001	
9.240000000000000E+008	-2.440484120230238E+000	-1.371644536612005E+001	-1.788620227151837E+001	
9.360000000000000E+008	-2.918827503934478E+000	-1.598757440219007E+001	-1.726355067894943E+001	
9.480000000000000E+008	-3.647661693390348E+000	-1.783743476331913E+001	-1.600472271903231E+001	
9.600000000000000E+008	-4.585283193027473E+000	-1.860341363413516E+001	-1.514869755438884E+001	
9.720000000000000E+008	-5.885923025689668E+000	-1.937044488882818E+001	-1.448072059888277E+001	
9.840000000000000E+008	-7.762206870882368E+000	-1.900633665026212E+001	-1.432498927850126E+001	
9.960000000000000E+008	-1.026611498520644E+001	-1.667343395544273E+001	-1.418070461302539E+001	
1.008000000000000E+009	-1.250630766946172E+001	-1.479934583182250E+001	-1.439703283196791E+001	
1.020000000000000E+009	-1.249914530455416E+001	-1.209838940159080E+001	-1.458309708038925E+001	
1.032000000000000E+009	-1.089862447182287E+001	-1.093455958896634E+001	-1.477853982260477E+001	
1.044000000000000E+009	-9.004608844210100E+000	-1.007075080322158E+001	-1.522153119699314E+001	
1.056000000000000E+009	-7.284049646654196E+000	-9.125363736397517E+000	-1.557562239388196E+001	
1.068000000000000E+009	-6.020138167344197E+000	-8.302822432910173E+000	-1.579368880811031E+001	
1.080000000000000E+009	-4.925168206800129E+000	-7.387812012968917E+000	-1.697732546417520E+001	
1.092000000000000E+009	-4.213355514287251E+000	-6.617843691656671E+000	-1.806740813439709E+001	
1.104000000000000E+009	-3.638704424791434E+000	-6.010742481214268E+000	-1.883940835183724E+001	
1.116000000000000E+009	-3.304345259757179E+000	-5.381882589547320E+000	-1.947471900239839E+001	
1.128000000000000E+009	-2.979185096162631E+000	-5.014213690016781E+000	-2.015295249734379E+001	
1.140000000000000E+009	-2.734842919415619E+000	-4.633170593062783E+000	-2.113058230582207E+001	
1.152000000000000E+009	-2.524092890642093E+000	-4.356454066737143E+000	-2.157539836351966E+001	
