"";"";"Parameters";"";"";"";"";"";"";"";"";"";"";"Tasks\SPara1\S-Parameters"
"Schematic Run ID";"Status";"ant_l";"ant_w";"arm_l";"C_h1";"C_h3";"C_h4";"C_l3";"L_h2";"L_l1";"L_l2";"L_l4";"S1,1"
"23003";"Calculated";"60";"5";"3";"1.2";"6.75862";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23004";"Calculated";"60";"5";"3";"1.2";"6.86207";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23005";"Calculated";"60";"5";"3";"1.2";"6.96552";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23006";"Calculated";"60";"5";"3";"1.2";"7.06897";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23007";"Calculated";"60";"5";"3";"1.2";"7.17241";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23008";"Calculated";"60";"5";"3";"1.2";"7.27586";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23009";"Calculated";"60";"5";"3";"1.2";"7.37931";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23010";"Calculated";"60";"5";"3";"1.2";"7.48276";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23011";"Calculated";"60";"5";"3";"1.2";"7.58621";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23012";"Calculated";"60";"5";"3";"1.2";"7.68966";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23013";"Calculated";"60";"5";"3";"1.2";"7.7931";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23014";"Calculated";"60";"5";"3";"1.2";"7.89655";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23015";"Calculated";"60";"5";"3";"1.2";"8";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23016";"Calculated";"60";"5";"3";"1.2";"5";"2.10924";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23017";"Calculated";"60";"5";"3";"1.2";"5";"2.21248";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23018";"Calculated";"60";"5";"3";"1.2";"5";"2.31572";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23019";"Calculated";"60";"5";"3";"1.2";"5";"2.41897";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23020";"Calculated";"60";"5";"3";"1.2";"5";"2.52221";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23021";"Calculated";"60";"5";"3";"1.2";"5";"2.62545";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23022";"Calculated";"60";"5";"3";"1.2";"5";"2.72869";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23023";"Calculated";"60";"5";"3";"1.2";"5";"2.83193";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23024";"Calculated";"60";"5";"3";"1.2";"5";"2.93517";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23025";"Calculated";"60";"5";"3";"1.2";"5";"3.03841";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23026";"Calculated";"60";"5";"3";"1.2";"5";"3.14166";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23027";"Calculated";"60";"5";"3";"1.2";"5";"3.2449";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23028";"Calculated";"60";"5";"3";"1.2";"5";"3.34814";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23029";"Calculated";"60";"5";"3";"1.2";"5";"3.45138";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23030";"Calculated";"60";"5";"3";"1.2";"5";"3.55462";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
