        Frequency / MHz                S2,1 (31736)/abs,dB
                  1606.4                      -19.140826
                    1609                      -19.002016
                  1611.6                      -18.864963
                  1614.2                      -18.729887
                  1616.8                      -18.596904
                  1619.4                      -18.465971
                    1622                      -18.336947
                  1624.6                      -18.209697
                  1627.2                      -18.084202
                  1629.8                      -17.960588
                  1632.4                      -17.839041
                    1635                      -17.719697
                  1637.6                      -17.602587
                  1640.2                      -17.487641
                  1642.8                      -17.374767
                  1645.4                      -17.263933
                    1648                      -17.155222
                  1650.6                      -17.048781
                  1653.2                      -16.944746
                  1655.8                      -16.843169
                  1658.4                       -16.74401
                    1661                      -16.647191
                  1663.6                      -16.552686
                  1666.2                      -16.460554
                  1668.8                      -16.370933
                  1671.4                      -16.283964
                    1674                      -16.199726
                  1676.6                      -16.118186
                  1679.2                      -16.039252
                  1681.8                      -15.962862
                  1684.4                      -15.889045
                    1687                      -15.817926
                  1689.6                      -15.749667
                  1692.2                      -15.684388
                  1694.8                      -15.622096
                  1697.4                      -15.562701
                    1700                      -15.506092
                  1702.6                      -15.452229
                  1705.2                      -15.401193
                  1707.8                       -15.35316
                  1710.4                      -15.308307
                    1713                      -15.266731
                  1715.6                      -15.228412
                  1718.2                      -15.193245
                  1720.8                      -15.161148
                  1723.4                      -15.132147
                    1726                      -15.106406
                  1728.6                      -15.084179
                  1731.2                      -15.065717
                  1733.8                      -15.051182
                  1736.4                      -15.040634
                    1739                      -15.034096
                  1741.6                      -15.031659
                  1744.2                       -15.03357
                  1746.8                      -15.040261
                  1749.4                        -15.0523
                    1752                      -15.070296
                  1754.6                      -15.094845
                  1757.2                      -15.126536
                  1759.8                      -15.166029
                  1762.4                       -15.21421
                    1765                      -15.272297
                  1767.6                      -15.341893
                  1770.2                      -15.425001
                  1772.8                      -15.523963
                  1775.4                      -15.641414
                    1778                      -15.780293
                  1780.6                         -15.944
                  1783.2                      -16.136489
                  1785.8                      -16.362268
                  1788.4                      -16.626312
                    1791                      -16.933589
                  1793.6                      -17.288057
                  1796.2                      -17.691291
                  1798.8                      -18.140515
                  1801.4                      -18.626425
                    1804                      -19.130886
                  1806.6                      -19.625933
                  1809.2                      -20.075361
                  1811.8                      -20.440638
                  1814.4                      -20.690957
                    1817                      -20.813218
                  1819.6                      -20.816156
                  1822.2                      -20.725549
                  1824.8                      -20.574125
                  1827.4                      -20.392335
                    1830                      -20.203498
                  1832.6                      -20.022943
                  1835.2                      -19.859566
                  1837.8                      -19.717991
                  1840.4                      -19.600289
                    1843                      -19.507096
                  1845.6                      -19.438192
                  1848.2                      -19.392664
                  1850.8                      -19.369087
                  1853.4                      -19.365734
                    1856                      -19.380906
                  1858.6                      -19.413205
                  1861.2                      -19.461674
                  1863.8                      -19.525716
                  1866.4                      -19.604892
                    1869                      -19.698674
                  1871.6                      -19.806341
                  1874.2                      -19.927098
                  1876.8                      -20.060245
                  1879.4                      -20.205388
                    1882                      -20.362461
                  1884.6                      -20.531662
                  1887.2                      -20.713179
                  1889.8                      -20.906948
                  1892.4                      -21.112648
                    1895                      -21.329849
                  1897.6                      -21.558198
                  1900.2                      -21.797662
                  1902.8                      -22.048522
                  1905.4                      -22.311221
                    1908                      -22.586015
                  1910.6                      -22.872796
                  1913.2                      -23.171072
                  1915.8                      -23.480177
                  1918.4                      -23.799629
                    1921                      -24.129254
                  1923.6                       -24.46907
                  1926.2                      -24.819073
                  1928.8                      -25.178731
                  1931.4                      -25.546715
                    1934                      -25.920962
                  1936.6                      -26.299124
                  1939.2                      -26.678895
                  1941.8                      -27.057946
                  1944.4                      -27.433734
                    1947                      -27.802818
                  1949.6                      -28.160264
                  1952.2                       -28.49971
                  1954.8                       -28.81402
                  1957.4                      -29.096313
                    1960                      -29.340591
                  1962.6                      -29.541927
                  1965.2                      -29.696084
                  1967.8                      -29.799245
                  1970.4                      -29.848534
                    1973                      -29.843003
                  1975.6                      -29.784639
                  1978.2                      -29.678305
                  1980.8                      -29.530624
                  1983.4                      -29.348509
                    1986                      -29.138095
                  1988.6                      -28.904554
                  1991.2                      -28.652581
                  1993.8                       -28.38706
                  1996.4                      -28.112973
                    1999                       -27.83489
                  2001.6                      -27.556435
                  2004.2                      -27.279857
                  2006.8                      -27.006323
                  2009.4                      -26.736469
                    2012                      -26.471049
                  2014.6                      -26.211171
                  2017.2                      -25.958091
                  2019.8                      -25.712801
                  2022.4                      -25.475629
                    2025                      -25.246293
                  2027.6                      -25.024231
                  2030.2                       -24.80898
                  2032.8                      -24.600513
                  2035.4                       -24.39921
                    2038                      -24.205547
                  2040.6                      -24.019674
                  2043.2                       -23.84126
                  2045.8                      -23.669711
                  2048.4                       -23.50438
                    2051                      -23.344936
                  2053.6                      -23.191479
                  2056.2                      -23.044327
                  2058.8                      -22.903782
                  2061.4                      -22.769762
                    2064                        -22.6418
                  2066.6                      -22.519314
                  2069.2                      -22.401849
                  2071.8                      -22.289284
                  2074.4                      -22.181818
                    2077                      -22.079785
                  2079.6                      -21.983293
                  2082.2                      -21.892091
                  2084.8                       -21.80568
                  2087.4                      -21.723496
                    2090                      -21.645235
                  2092.6                      -21.570904
                  2095.2                      -21.500732
                  2097.8                      -21.434921
                  2100.4                      -21.373382
                    2103                      -21.315723
                  2105.6                      -21.261358
                  2108.2                      -21.209798
                  2110.8                      -21.160848
                  2113.4                      -21.114597
                    2116                      -21.071231
                  2118.6                      -21.030796
                  2121.2                      -20.993036
                  2123.8                      -20.957443
                  2126.4                      -20.923449
                    2129                      -20.890716
                  2131.6                      -20.859202
                  2134.2                      -20.829076
                  2136.8                       -20.80051
                  2139.4                      -20.773421
                    2142                      -20.747464
                  2144.6                      -20.722137
                  2147.2                      -20.697031
                  2149.8                      -20.672037
                  2152.4                      -20.647314
                    2155                       -20.62314
                  2157.6                      -20.599657
                  2160.2                      -20.576707
                  2162.8                      -20.553926
                  2165.4                      -20.530918
                    2168                      -20.507519
                  2170.6                      -20.483871
                  2173.2                      -20.460335
                  2175.8                       -20.43723
                  2178.4                      -20.414633
                    2181                       -20.39233
                  2183.6                      -20.369981
                  2186.2                      -20.347366
                  2188.8                      -20.324584
                  2191.4                      -20.302014
                    2194                      -20.280129
                  2196.6                      -20.259241
                  2199.2                      -20.239342
                  2201.8                      -20.220192
                  2204.4                      -20.201559
                    2207                      -20.183459
                  2209.6                      -20.166269
                  2212.2                      -20.150582
                  2214.8                      -20.136956
                  2217.4                      -20.125661
                    2220                      -20.116658
                  2222.6                      -20.109743
                  2225.2                      -20.104852
                  2227.8                      -20.102232
                  2230.4                      -20.102406
                    2233                      -20.105917
                  2235.6                      -20.112982
                  2238.2                      -20.123242
                  2240.8                       -20.13575
                  2243.4                      -20.149114
                    2246                      -20.161656
                  2248.6                      -20.171448
                  2251.2                      -20.176129
                  2253.8                      -20.172738
                  2256.4                      -20.157773
                    2259                      -20.127682
                  2261.6                      -20.079787
                  2264.2                      -20.013234
                  2266.8                      -19.929548
                  2269.4                      -19.832376
                    2272                      -19.726589
                  2274.6                      -19.617146
                  2277.2                      -19.508171
                  2279.8                      -19.402558
                  2282.4                      -19.302102
                    2285                      -19.207914
                  2287.6                      -19.120676
                  2290.2                       -19.04079
                  2292.8                      -18.968328
                  2295.4                      -18.902885
                    2298                      -18.843652
                  2300.6                      -18.789629
                  2303.2                      -18.739904
                  2305.8                      -18.693963
                  2308.4                      -18.651664
                    2311                      -18.613066
                  2313.6                      -18.578155
                  2316.2                      -18.546623
                  2318.8                       -18.51791
                  2321.4                      -18.491428
                    2324                      -18.466808
                  2326.6                      -18.444067
                  2329.2                      -18.423494
                  2331.8                      -18.405392
                  2334.4                       -18.38982
                    2337                      -18.376482
                  2339.6                      -18.364877
                  2342.2                      -18.354555
                  2344.8                      -18.345354
                  2347.4                      -18.337419
                    2350                      -18.330978
                  2352.6                       -18.32604
                  2355.2                      -18.322168
                  2357.8                      -18.318494
                  2360.4                      -18.313945
                    2363                      -18.307506
                  2365.6                      -18.298337
                  2368.2                      -18.285586
                  2370.8                      -18.268061
                  2373.4                      -18.243874
                    2376                       -18.21036
                  2378.6                      -18.164319
                  2381.2                      -18.102455
                  2383.8                      -18.021774
                  2386.4                      -17.919783
                    2389                      -17.794551
                  2391.6                      -17.644695
                  2394.2                      -17.469701
                  2396.8                      -17.270535
                  2399.4                      -17.050112
                    2402                      -16.813594
                  2404.6                      -16.567926
                  2407.2                      -16.320714
                  2409.8                      -16.079388
