        Frequency / GHz                c3=1.2/real
----------------------------------------------------------------------
                    0.69                      0.76789807
                    0.78                      0.48888257
                    0.87                      0.19493766
                    0.96                      0.41949104
                     1.7                     0.068884062
                     1.8                     0.020432319
                     1.9                     0.071073829
                       2                      0.14692236
                     2.1                      0.10869266
                     2.2                      0.11449268
                     2.3                     0.083370394
                     2.4                    0.0044182144
                     2.5                     0.054505519
                     2.6                     0.036077973
                     2.7                     0.018535792

        Frequency / GHz                c3=9.6/real
----------------------------------------------------------------------
                    0.69                      0.73443051
                    0.78                      0.48879526
                    0.87                      0.19596078
                    0.96                      0.42052326
                     1.7                     0.069404276
                     1.8                      0.02098135
                     1.9                     0.072401953
                       2                      0.14771955
                     2.1                       0.1085819
                     2.2                      0.11418856
                     2.3                     0.083071589
                     2.4                     0.004575203
                     2.5                     0.054366653
                     2.6                     0.035970955
                     2.7                      0.01848208

        Frequency / GHz                c3=9.9/real
----------------------------------------------------------------------
                    0.69                      0.67759701
                    0.78                      0.48854716
                    0.87                      0.19688028
                    0.96                      0.42147649
                     1.7                     0.069859661
                     1.8                     0.021557228
                     1.9                     0.073610836
                       2                      0.14838889
                     2.1                      0.10845274
                     2.2                      0.11389177
                     2.3                     0.082785353
                     2.4                    0.0047207818
                     2.5                     0.054236013
                     2.6                      0.03587019
                     2.7                     0.018431391

        Frequency / GHz                c3=10.2/real
----------------------------------------------------------------------
                    0.69                      0.62347356
                    0.78                      0.48821133
                    0.87                      0.19771088
                    0.96                       0.4223592
                     1.7                     0.070258335
                     1.8                     0.022147026
                     1.9                     0.074713177
                       2                      0.14895006
                     2.1                      0.10830987
                     2.2                      0.11360304
                     2.3                     0.082511296
                     2.4                    0.0048560311
                     2.5                      0.05411293
                     2.6                     0.035775156
                     2.7                     0.018383475

        Frequency / GHz                c3=10.5/real
----------------------------------------------------------------------
                    0.69                      0.65287901
                    0.78                      0.48783118
                    0.87                      0.19846445
                    0.96                      0.42317863
                     1.7                     0.070607257
                     1.8                     0.022740451
                     1.9                      0.07572026
                       2                      0.14941953
                     2.1                      0.10815714
                     2.2                      0.11332288
                     2.3                     0.082248875
                     2.4                    0.0049819274
                     2.5                     0.053996786
                     2.6                     0.035685394
                     2.7                     0.018338128

        Frequency / GHz                c3=10.8/real
----------------------------------------------------------------------
                    0.69                      0.72056559
                    0.78                      0.48743251
                    0.87                      0.19915106
                    0.96                      0.42394123
                     1.7                     0.070912595
                     1.8                     0.023329549
                     1.9                     0.076642117
                       2                      0.14981109
                     2.1                       0.1079975
                     2.2                      0.11305153
                     2.3                     0.081997578
                     2.4                    0.0050993401
                     2.5                     0.053887016
                     2.6                     0.035600498
                     2.7                     0.018295147

        Frequency / GHz                c3=11.1/real
----------------------------------------------------------------------
                    0.69                      0.76446635
                    0.78                      0.48703095
                    0.87                      0.19977908
                    0.96                      0.42465236
                     1.7                      0.07117961
                     1.8                     0.023908298
                     1.9                     0.077487513
                       2                      0.15013632
                     2.1                      0.10783331
                     2.2                      0.11278908
                     2.3                     0.081756878
                     2.4                    0.0052090398
                     2.5                     0.053783148
                     2.6                     0.035520082
                     2.7                     0.018254362

        Frequency / GHz                c3=11.4/real
----------------------------------------------------------------------
                    0.69                      0.78784765
                    0.78                       0.4866357
                    0.87                      0.20035553
                    0.96                        0.425317
                     1.7                     0.071412953
                     1.8                     0.024472341
                     1.9                     0.078264304
                       2                      0.15040496
                     2.1                      0.10766642
                     2.2                      0.11253546
                     2.3                     0.081526284
                     2.4                     0.005311725
                     2.5                     0.053684733
                     2.6                     0.035443801
                     2.7                     0.018215601

        Frequency / GHz                c3=11.7/real
----------------------------------------------------------------------
                    0.69                      0.80063902
                    0.78                      0.48625225
                    0.87                      0.20088637
                    0.96                      0.42593941
                     1.7                     0.071616644
                     1.8                     0.025018613
                     1.9                      0.07897938
                       2                      0.15062522
                     2.1                      0.10749828
                     2.2                      0.11229058
                     2.3                     0.081305246
                     2.4                    0.0054080076
                     2.5                     0.053591344
                     2.6                     0.035371364
                     2.7                     0.018178733

