        Frequency                Csh2=0.3/abs,dB
                  1276.2                      -2.4241942
                  1278.3                      -2.4278914
                  1280.4                      -2.4317585
                  1282.5                      -2.4357943
                  1284.6                      -2.4399979
                  1286.7                      -2.4443681
                  1288.8                      -2.4489053
                  1290.9                      -2.4536087
                    1293                      -2.4584763
                  1295.1                       -2.463509
                  1297.2                      -2.4687064
                  1299.3                      -2.4740673
                  1301.4                      -2.4795925
                  1303.5                      -2.4852806
                  1305.6                      -2.4911324
                  1307.7                      -2.4971469
                  1309.8                      -2.5033242
                  1311.9                      -2.5096653
                    1314                      -2.5161697
                  1316.1                      -2.5228379
                  1318.2                        -2.52967
                  1320.3                      -2.5366661
                  1322.4                       -2.543827
                  1324.5                      -2.5511536
                  1326.6                      -2.5586457
                  1328.7                      -2.5663047
                  1330.8                      -2.5741312
                  1332.9                      -2.5821266
                    1335                      -2.5902909
                  1337.1                      -2.5986258
                  1339.2                      -2.6071323
                  1341.3                      -2.6158114
                  1343.4                      -2.6246653
                  1345.5                      -2.6336945
                  1347.6                      -2.6429007
                  1349.7                      -2.6522855
                  1351.8                      -2.6618508
                  1353.9                      -2.6715984
                    1356                      -2.6815295
                  1358.1                      -2.6916466
                  1360.2                      -2.7019513
                  1362.3                      -2.7124458
                  1364.4                      -2.7231322
                  1366.5                      -2.7340127
                  1368.6                      -2.7450894
                  1370.7                       -2.756365
                  1372.8                      -2.7678418
                  1374.9                      -2.7795219
                    1377                      -2.7914084
                  1379.1                       -2.803503
                  1381.2                      -2.8158091
                  1383.3                       -2.828329
                  1385.4                      -2.8410654
                  1387.5                      -2.8540215
                  1389.6                      -2.8671999
                  1391.7                      -2.8806037
                  1393.8                      -2.8942355
                  1395.9                      -2.9080982
                    1398                      -2.9221951
                  1400.1                      -2.9365294
                  1402.2                      -2.9511036
                  1404.3                      -2.9659217
                  1406.4                      -2.9809864
                  1408.5                      -2.9963012
                  1410.6                      -3.0118688
                  1412.7                      -3.0276924
