# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S21	ang:Trc2_S21	db:Trc3_S22	ang:Trc3_S22	
1.250000000000000E+009	-4.101009825946473E+000	1.417664997625346E+002	-1.474832791981608E+001	7.315704879586394E+001	-3.125113127008682E+000	1.157107076326955E+002	
1.262500000000000E+009	-3.995317083740580E+000	1.327534821529403E+002	-1.506339506206848E+001	6.340854684545775E+001	-3.078868162222076E+000	1.072683825844889E+002	
1.275000000000000E+009	-3.948976410015558E+000	1.244530604604054E+002	-1.524564616334144E+001	5.329196518425763E+001	-3.047140521302794E+000	9.890217968107423E+001	
1.287500000000000E+009	-3.834680814419522E+000	1.162633831319003E+002	-1.544669194644253E+001	4.377699461374286E+001	-3.005702606591524E+000	9.037702261820978E+001	
1.300000000000000E+009	-3.794291507670788E+000	1.079947622751968E+002	-1.572048231311923E+001	3.312034674385070E+001	-3.083561034052182E+000	8.108548677013324E+001	
1.312500000000000E+009	-3.754640932148639E+000	1.001316197061315E+002	-1.631518557133399E+001	2.406362079381835E+001	-3.440547408677319E+000	7.207310935073328E+001	
1.325000000000000E+009	-3.695452313951631E+000	9.209069297577651E+001	-1.679501652577687E+001	1.764218947926048E+001	-3.911886734991586E+000	6.512449347530567E+001	
1.337500000000000E+009	-3.685128222411634E+000	8.443958566488810E+001	-1.697352237625339E+001	1.141579840507063E+001	-4.367120739612451E+000	5.999617328392722E+001	
1.350000000000000E+009	-3.651048316794684E+000	7.682746908916026E+001	-1.706887300878073E+001	5.592904404462522E+000	-4.599876098173422E+000	5.589447216712158E+001	
1.362500000000000E+009	-3.603133544422907E+000	6.896228841042034E+001	-1.666378322064354E+001	-1.311599117550850E+000	-4.466745831320010E+000	5.219323715759603E+001	
1.375000000000000E+009	-3.614924799482540E+000	6.123644660507149E+001	-1.640302766072235E+001	-9.412743370605499E+000	-4.188950515293564E+000	4.592303116325696E+001	
1.387500000000000E+009	-3.610643507640967E+000	5.353023542684785E+001	-1.610614591567629E+001	-1.870791872607383E+001	-4.052857530367621E+000	3.869590133640545E+001	
1.400000000000000E+009	-3.618362248271402E+000	4.563325999832509E+001	-1.584467794725522E+001	-2.912608526492270E+001	-3.852196120680739E+000	3.062972225106793E+001	
1.412500000000000E+009	-3.672311112766862E+000	3.801712422636282E+001	-1.581287773626647E+001	-4.036256359999226E+001	-3.884650183077123E+000	2.139480505547559E+001	
1.425000000000000E+009	-3.720145805180102E+000	3.047914042860201E+001	-1.585968698018770E+001	-4.918195490021250E+001	-4.091062035974646E+000	1.305094730441338E+001	
1.437500000000000E+009	-3.765472056985073E+000	2.300955475596603E+001	-1.572514101315907E+001	-5.972208430737232E+001	-4.172595198059674E+000	5.089687610360764E+000	
1.450000000000000E+009	-3.814164283601599E+000	1.554387542655391E+001	-1.571247521444686E+001	-7.079093391587681E+001	-4.338946790540980E+000	-3.723959164080046E+000	
1.462500000000000E+009	-3.831277946993046E+000	7.870044896760905E+000	-1.584845906614683E+001	-8.171551365472368E+001	-4.598255766613579E+000	-1.266597394084966E+001	
1.475000000000000E+009	-3.869531385968940E+000	9.899429876506950E-003	-1.601984049175152E+001	-9.216026954755586E+001	-5.037632521013364E+000	-2.111071502567214E+001	
1.487500000000000E+009	-3.966137439000896E+000	-8.120834396571974E+000	-1.606139142659382E+001	-1.023363542191293E+002	-5.600793546491066E+000	-2.866206043169230E+001	
1.500000000000000E+009	-4.090256489980661E+000	-1.590228853797096E+001	-1.594770615862775E+001	-1.143552108988672E+002	-6.036382530463802E+000	-3.508762184576212E+001	
1.512500000000000E+009	-4.136122553226866E+000	-2.358416268397339E+001	-1.660806347392795E+001	-1.275202804319837E+002	-6.558447167069615E+000	-4.167003054735736E+001	
1.525000000000000E+009	-4.211676531805466E+000	-3.167431396485289E+001	-1.713223936756577E+001	-1.376426075830370E+002	-7.068188234618744E+000	-4.840628375403097E+001	
1.537500000000000E+009	-4.322346648768055E+000	-4.024396242156455E+001	-1.756172928799806E+001	-1.470533790142087E+002	-7.519323793835530E+000	-5.463973382786200E+001	
1.550000000000000E+009	-4.506587182604713E+000	-4.856135861719869E+001	-1.784590751178219E+001	-1.584551747406962E+002	-8.235321024079978E+000	-6.271401221575391E+001	
1.562500000000000E+009	-4.677201864348006E+000	-5.670831893940451E+001	-1.862954124192165E+001	-1.702469663665983E+002	-9.214116999537778E+000	-6.853419935364821E+001	
1.575000000000000E+009	-4.798172390199247E+000	-6.520641883638662E+001	-1.943514516015199E+001	-1.798876691811272E+002	-1.001131949820569E+001	-7.375774363957532E+001	
1.587500000000000E+009	-4.975744906379664E+000	-7.401789562589859E+001	-2.025337851880405E+001	1.697532791915087E+002	-1.104245865672282E+001	-8.074181171468443E+001	
1.600000000000000E+009	-5.162640214955570E+000	-8.310113332164592E+001	-2.166607264117660E+001	1.592172303333807E+002	-1.264261674862611E+001	-8.269537300354978E+001	
1.612500000000000E+009	-5.419225694105730E+000	-9.242752596895213E+001	-2.345513791187460E+001	1.533685245101449E+002	-1.365145692746111E+001	-8.012439707734555E+001	
1.625000000000000E+009	-5.800265898092596E+000	-1.013283744032446E+002	-2.514934158863562E+001	1.506495221254937E+002	-1.405951797198891E+001	-7.437877552278381E+001	
1.637500000000000E+009	-6.125193723203898E+000	-1.101678861011873E+002	-2.738271748869662E+001	1.582788060462513E+002	-1.334158604218378E+001	-6.881185662837963E+001	
1.650000000000000E+009	-6.491817300371870E+000	-1.186675789972147E+002	-2.634801220181824E+001	1.707515421158896E+002	-1.218146138648540E+001	-6.792101620357049E+001	
1.662500000000000E+009	-6.778704992869969E+000	-1.270295905907421E+002	-2.527201500148123E+001	1.689351485278181E+002	-1.044876371014436E+001	-7.048241734700785E+001	
1.675000000000000E+009	-7.201267303643583E+000	-1.351695912614410E+002	-2.455949893705537E+001	1.659756484718133E+002	-9.159331319855685E+000	-7.865485585665238E+001	
