# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
1.608000000000000E+009	-2.255375648132139E+001	-2.367224603296807E+000	-2.257291157747589E+001	-2.255375648132139E+001	-2.234562525000522E+000	-2.234562525000522E+000	-2.367224603296807E+000	-2.255375648132139E+001	
1.620000000000000E+009	-2.232069559340375E+001	-2.477037477081890E+000	-2.235184762064691E+001	-2.232069559340375E+001	-2.323980490204907E+000	-2.323980490204907E+000	-2.477037477081890E+000	-2.232069559340375E+001	
1.632000000000000E+009	-2.239582614018547E+001	-2.539664422599673E+000	-2.242438256544457E+001	-2.239582614018547E+001	-2.364996943485343E+000	-2.364996943485343E+000	-2.539664422599673E+000	-2.239582614018547E+001	
1.644000000000000E+009	-2.229091033291433E+001	-2.508577211789027E+000	-2.230030479964557E+001	-2.229091033291433E+001	-2.352477869361699E+000	-2.352477869361699E+000	-2.508577211789027E+000	-2.229091033291433E+001	
1.656000000000000E+009	-2.192331702817300E+001	-2.568900302409650E+000	-2.188246917111132E+001	-2.192331702817300E+001	-2.392457372404466E+000	-2.392457372404466E+000	-2.568900302409650E+000	-2.192331702817300E+001	
1.668000000000000E+009	-2.199353224022883E+001	-2.590705763725699E+000	-2.196121450033585E+001	-2.199353224022883E+001	-2.405554043479964E+000	-2.405554043479964E+000	-2.590705763725699E+000	-2.199353224022883E+001	
1.680000000000000E+009	-2.170347936932458E+001	-2.694965553227569E+000	-2.166709840978420E+001	-2.170347936932458E+001	-2.441205347886461E+000	-2.441205347886461E+000	-2.694965553227569E+000	-2.170347936932458E+001	
1.692000000000000E+009	-2.150349397553491E+001	-2.816490733243465E+000	-2.148863634667019E+001	-2.150349397553491E+001	-2.464595243821977E+000	-2.464595243821977E+000	-2.816490733243465E+000	-2.150349397553491E+001	
1.704000000000000E+009	-2.136109068325325E+001	-2.931233904318998E+000	-2.137147411581636E+001	-2.136109068325325E+001	-2.495138527222580E+000	-2.495138527222580E+000	-2.931233904318998E+000	-2.136109068325325E+001	
1.716000000000000E+009	-2.116093914300279E+001	-3.041645906508158E+000	-2.118176819665839E+001	-2.116093914300279E+001	-2.508738611149861E+000	-2.508738611149861E+000	-3.041645906508158E+000	-2.116093914300279E+001	
1.728000000000000E+009	-2.097141503505979E+001	-3.115838277933471E+000	-2.099080880747385E+001	-2.097141503505979E+001	-2.544024957648428E+000	-2.544024957648428E+000	-3.115838277933471E+000	-2.097141503505979E+001	
1.740000000000000E+009	-2.093322452387577E+001	-3.219291296638730E+000	-2.092512337011494E+001	-2.093322452387577E+001	-2.567268721939382E+000	-2.567268721939382E+000	-3.219291296638730E+000	-2.093322452387577E+001	
1.752000000000000E+009	-2.076258133404297E+001	-3.325576915925509E+000	-2.074995701359040E+001	-2.076258133404297E+001	-2.598611299286584E+000	-2.598611299286584E+000	-3.325576915925509E+000	-2.076258133404297E+001	
