# Version 1.00
#
freq[Hz]	Trc2_S11[dB]	
9.900000000000000E+008	-6.094997026175679E+000	
9.930000000000000E+008	-5.711691437478851E+000	
9.960000000000000E+008	-5.325057842811724E+000	
9.990000000000000E+008	-4.982830810340287E+000	
1.002000000000000E+009	-4.676466923543547E+000	
1.005000000000000E+009	-4.435609345862006E+000	
1.008000000000000E+009	-4.208268915747808E+000	
1.011000000000000E+009	-4.001836599552769E+000	
1.014000000000000E+009	-3.812859795813478E+000	
1.017000000000000E+009	-3.644184106080269E+000	
1.020000000000000E+009	-3.483437981932296E+000	
1.023000000000000E+009	-3.350598861709650E+000	
1.026000000000000E+009	-3.237969883071305E+000	
1.029000000000000E+009	-3.112171936879407E+000	
1.032000000000000E+009	-3.001583278495394E+000	
1.035000000000000E+009	-2.899461157723904E+000	
1.038000000000000E+009	-2.826359772174228E+000	
1.041000000000000E+009	-2.762166211221366E+000	
1.044000000000000E+009	-2.681695816947496E+000	
1.047000000000000E+009	-2.604334118918156E+000	
1.050000000000000E+009	-2.548945839017883E+000	
1.053000000000000E+009	-2.496340066744299E+000	
1.056000000000000E+009	-2.435923178780193E+000	
1.059000000000000E+009	-2.392067682723238E+000	
1.062000000000000E+009	-2.334422349828729E+000	
1.065000000000000E+009	-2.312458997470336E+000	
1.068000000000000E+009	-2.294871080951484E+000	
1.071000000000000E+009	-2.281868500388357E+000	
1.074000000000000E+009	-2.254742602112582E+000	
1.077000000000000E+009	-2.212316758636574E+000	
1.080000000000000E+009	-2.184428972997289E+000	
1.083000000000000E+009	-2.168509242978475E+000	
1.086000000000000E+009	-2.172676189616829E+000	
1.089000000000000E+009	-2.163748904574246E+000	
1.092000000000000E+009	-2.161598843606405E+000	
1.095000000000000E+009	-2.132016083948222E+000	
1.098000000000000E+009	-2.107593042158868E+000	
1.101000000000000E+009	-2.075981653953706E+000	
1.104000000000000E+009	-2.057760275623773E+000	
1.107000000000000E+009	-2.036975332670919E+000	
1.110000000000000E+009	-2.019004202104394E+000	
1.113000000000000E+009	-2.012131231568501E+000	
1.116000000000000E+009	-2.005125889807192E+000	
1.119000000000000E+009	-2.005265443639201E+000	
1.122000000000000E+009	-1.992344967590108E+000	
1.125000000000000E+009	-2.003332671591741E+000	
1.128000000000000E+009	-1.984991422611721E+000	
1.131000000000000E+009	-1.977650061378043E+000	
1.134000000000000E+009	-1.975774586278598E+000	
1.137000000000000E+009	-1.982466007919876E+000	
1.140000000000000E+009	-2.006546517944647E+000	
1.143000000000000E+009	-2.018938715757733E+000	
1.146000000000000E+009	-2.022990492029845E+000	
1.149000000000000E+009	-2.011415494526648E+000	
1.152000000000000E+009	-1.999229893384761E+000	
1.155000000000000E+009	-1.982125997175168E+000	
1.158000000000000E+009	-1.991460686186804E+000	
1.161000000000000E+009	-1.981333007609268E+000	
1.164000000000000E+009	-1.974007259636733E+000	
1.167000000000000E+009	-1.975481787198716E+000	
1.170000000000000E+009	-1.971712027310965E+000	
