# Version 1.00
#
freq[Hz]	Trc2_S11[dB]	
8.400000000000000E+008	-1.283406114551557E+001	
8.430000000000000E+008	-1.286303631716289E+001	
8.460000000000000E+008	-1.292259645997076E+001	
8.490000000000000E+008	-1.310431344686834E+001	
8.520000000000000E+008	-1.335967138629138E+001	
8.550000000000000E+008	-1.369600833611704E+001	
8.580000000000000E+008	-1.416744175383626E+001	
8.610000000000000E+008	-1.446375862966847E+001	
8.640000000000000E+008	-1.459260037302519E+001	
8.670000000000000E+008	-1.464049585053679E+001	
8.700000000000000E+008	-1.470167476071856E+001	
8.730000000000000E+008	-1.467092278358779E+001	
8.760000000000000E+008	-1.463288356984984E+001	
8.790000000000000E+008	-1.460366452092888E+001	
8.820000000000000E+008	-1.447523915323915E+001	
8.850000000000000E+008	-1.425354556622189E+001	
8.880000000000000E+008	-1.401909555848663E+001	
8.910000000000000E+008	-1.384214515804577E+001	
8.940000000000000E+008	-1.371973732401937E+001	
8.970000000000000E+008	-1.363173172085024E+001	
9.000000000000000E+008	-1.354945038130046E+001	
9.030000000000000E+008	-1.354819469482253E+001	
9.060000000000000E+008	-1.365606065172850E+001	
9.090000000000000E+008	-1.387384043485623E+001	
9.120000000000000E+008	-1.418084661195065E+001	
9.150000000000000E+008	-1.461700516023239E+001	
9.180000000000000E+008	-1.493223103143939E+001	
9.210000000000000E+008	-1.516134813292467E+001	
9.240000000000000E+008	-1.536948923737016E+001	
9.270000000000000E+008	-1.558729836098127E+001	
9.300000000000000E+008	-1.577371628184488E+001	
9.330000000000000E+008	-1.575923268506219E+001	
9.360000000000000E+008	-1.572992906634870E+001	
9.390000000000000E+008	-1.579595004077200E+001	
9.420000000000000E+008	-1.582750270991674E+001	
9.450000000000000E+008	-1.583243572688195E+001	
9.480000000000000E+008	-1.584428148951371E+001	
9.510000000000000E+008	-1.592174341178696E+001	
9.540000000000000E+008	-1.601831953989989E+001	
9.570000000000000E+008	-1.624989125573676E+001	
9.600000000000000E+008	-1.654343957984186E+001	
9.630000000000000E+008	-1.674876060714795E+001	
9.660000000000000E+008	-1.675133972562206E+001	
9.690000000000000E+008	-1.656720777001660E+001	
9.720000000000000E+008	-1.630200395975665E+001	
9.750000000000000E+008	-1.604283173315276E+001	
9.780000000000000E+008	-1.588055485927067E+001	
9.810000000000000E+008	-1.568453122225036E+001	
9.840000000000000E+008	-1.551769186052073E+001	
9.870000000000000E+008	-1.545084341868068E+001	
9.900000000000000E+008	-1.540971530753058E+001	
9.930000000000000E+008	-1.522513000470607E+001	
9.960000000000000E+008	-1.497895717214054E+001	
9.990000000000000E+008	-1.461574843734047E+001	
1.002000000000000E+009	-1.416153411483349E+001	
1.005000000000000E+009	-1.375147238928227E+001	
1.008000000000000E+009	-1.336004994462402E+001	
1.011000000000000E+009	-1.293158208979381E+001	
1.014000000000000E+009	-1.254460985061008E+001	
