# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S11[dB]	Trc3_S22[dB]	Trc4_S21[dB]	
6.156250000000000E+008	-4.572887461102397E-001	-4.572887461102397E-001	-7.529871681475880E-001	-3.452182648878762E+001	
6.187500000000000E+008	-4.282912082191459E-001	-4.282912082191459E-001	-7.855596770987078E-001	-3.388863995189379E+001	
6.218750000000000E+008	-4.480405645267157E-001	-4.480405645267157E-001	-8.196443076192875E-001	-3.337088566263272E+001	
6.250000000000000E+008	-4.673838874554672E-001	-4.673838874554672E-001	-8.440619775121894E-001	-3.298375153525916E+001	
6.281250000000000E+008	-4.847604284009765E-001	-4.847604284009765E-001	-8.683867989917399E-001	-3.267092562751783E+001	
6.312500000000000E+008	-4.904897171237694E-001	-4.904897171237694E-001	-8.967008583055867E-001	-3.239295646447022E+001	
6.343750000000000E+008	-4.973507733019670E-001	-4.973507733019670E-001	-9.130195095077168E-001	-3.189003924297869E+001	
6.375000000000000E+008	-5.086466092624131E-001	-5.086466092624131E-001	-9.641957584945844E-001	-3.141297647176344E+001	
6.406250000000000E+008	-5.205717574632045E-001	-5.205717574632045E-001	-9.958483566820046E-001	-3.099462441679697E+001	
6.437500000000000E+008	-5.417274387950140E-001	-5.417274387950140E-001	-1.038908684618526E+000	-3.057832789989866E+001	
6.468750000000000E+008	-5.470257221046017E-001	-5.470257221046017E-001	-1.078454374229527E+000	-3.016220924238893E+001	
6.500000000000000E+008	-5.640955116260411E-001	-5.640955116260411E-001	-1.106619556488149E+000	-2.981976358829042E+001	
6.531250000000000E+008	-5.718755654114566E-001	-5.718755654114566E-001	-1.151888243210861E+000	-2.923436582854893E+001	
6.562500000000000E+008	-5.948128569391825E-001	-5.948128569391825E-001	-1.210058830774696E+000	-2.871058324901586E+001	
6.593750000000000E+008	-6.062479853145601E-001	-6.062479853145601E-001	-1.244338945040213E+000	-2.845304878358076E+001	
6.625000000000000E+008	-6.115502456174023E-001	-6.115502456174023E-001	-1.253705535843416E+000	-2.845964156718711E+001	
6.656250000000000E+008	-6.319753889940875E-001	-6.319753889940875E-001	-1.277877723561805E+000	-2.838940512035708E+001	
6.687500000000000E+008	-6.312688622151964E-001	-6.312688622151964E-001	-1.305793360727356E+000	-2.827142488261669E+001	
6.718750000000000E+008	-6.165448125185710E-001	-6.165448125185710E-001	-1.312193091142633E+000	-2.807208126135838E+001	
6.750000000000000E+008	-6.267309680920343E-001	-6.267309680920343E-001	-1.337876356439278E+000	-2.784462257129466E+001	
6.781250000000000E+008	-6.516858268890352E-001	-6.516858268890352E-001	-1.386887044467869E+000	-2.730796259013886E+001	
6.812500000000000E+008	-6.703697326786683E-001	-6.703697326786683E-001	-1.460596937840526E+000	-2.663070714197616E+001	
6.843750000000000E+008	-6.863133137456909E-001	-6.863133137456909E-001	-1.528595260135266E+000	-2.590412754522604E+001	
6.875000000000000E+008	-7.177640924880260E-001	-7.177640924880260E-001	-1.581072969920064E+000	-2.541475463336166E+001	
6.906250000000000E+008	-7.397330236473939E-001	-7.397330236473939E-001	-1.617610811588120E+000	-2.511427728065283E+001	
6.937500000000000E+008	-7.380100639416863E-001	-7.380100639416863E-001	-1.643470507802388E+000	-2.483853435768836E+001	
6.968750000000000E+008	-7.554991667726663E-001	-7.554991667726663E-001	-1.680517019469557E+000	-2.453963241309933E+001	
7.000000000000000E+008	-7.770411781189467E-001	-7.770411781189467E-001	-1.715755544220532E+000	-2.424432946641532E+001	
7.031250000000000E+008	-8.089329906427580E-001	-8.089329906427580E-001	-1.746689440728507E+000	-2.387119796086220E+001	
7.062500000000000E+008	-8.471053906447709E-001	-8.471053906447709E-001	-1.784755281174857E+000	-2.352403910202056E+001	
7.093750000000000E+008	-8.676813175005598E-001	-8.676813175005598E-001	-1.803684301385227E+000	-2.314340871758831E+001	
7.125000000000000E+008	-8.909162627111454E-001	-8.909162627111454E-001	-1.831555519183687E+000	-2.288199041844977E+001	
7.156250000000000E+008	-9.058504992407969E-001	-9.058504992407969E-001	-1.839633549609675E+000	-2.257371836016509E+001	
7.187500000000000E+008	-9.220626453685130E-001	-9.220626453685130E-001	-1.847921090077713E+000	-2.245587240852362E+001	
7.218750000000000E+008	-9.341798664068295E-001	-9.341798664068295E-001	-1.877852094585284E+000	-2.230935687965031E+001	
7.250000000000000E+008	-9.806332707024721E-001	-9.806332707024721E-001	-1.920441085851971E+000	-2.203834813595853E+001	
7.281250000000000E+008	-1.006824902516082E+000	-1.006824902516082E+000	-1.964580275248778E+000	-2.166977067111910E+001	
7.312500000000000E+008	-1.017083852078563E+000	-1.017083852078563E+000	-1.991049096246638E+000	-2.135397447516578E+001	
7.343750000000000E+008	-1.059257641883889E+000	-1.059257641883889E+000	-2.013448268590893E+000	-2.111728163513193E+001	
7.375000000000000E+008	-1.085634788679068E+000	-1.085634788679068E+000	-2.073356518235050E+000	-2.083409800594141E+001	
7.406250000000000E+008	-1.142614195293799E+000	-1.142614195293799E+000	-2.150883724493488E+000	-2.038512550461980E+001	
7.437500000000000E+008	-1.184175637546357E+000	-1.184175637546357E+000	-2.213314620487057E+000	-1.995573665382439E+001	
7.468750000000000E+008	-1.212603085954658E+000	-1.212603085954658E+000	-2.267864240341811E+000	-1.968095768777741E+001	
7.500000000000000E+008	-1.238187290264397E+000	-1.238187290264397E+000	-2.329617105680244E+000	-1.926946167896869E+001	
7.531250000000000E+008	-1.298942710368827E+000	-1.298942710368827E+000	-2.379070006992373E+000	-1.884513746769231E+001	
7.562500000000000E+008	-1.352322923529101E+000	-1.352322923529101E+000	-2.407580978575260E+000	-1.850542079469602E+001	
7.593750000000000E+008	-1.388843632309293E+000	-1.388843632309293E+000	-2.454468978692419E+000	-1.813213019090441E+001	
