        Frequency / MHz                S1,1 (31765)/abs,linear
                  1549.2                       0.8894095
                  1551.8                      0.88891559
                  1554.4                      0.88841097
                    1557                      0.88789558
                  1559.6                      0.88736843
                  1562.2                      0.88682797
                  1564.8                      0.88627343
                  1567.4                      0.88570519
                    1570                      0.88512472
                  1572.6                      0.88453328
                  1575.2                      0.88393127
                  1577.8                       0.8833181
                  1580.4                      0.88269237
                    1583                      0.88205271
                  1585.6                       0.8813989
                  1588.2                      0.88073172
                  1590.8                      0.88005253
                  1593.4                      0.87936216
                    1596                      0.87866052
                  1598.6                      0.87794641
                  1601.2                      0.87721834
                  1603.8                      0.87647543
                  1606.4                       0.8757178
                    1609                      0.87494651
                  1611.6                      0.87416289
                  1614.2                      0.87336723
                  1616.8                      0.87255868
                  1619.4                      0.87173576
                    1622                      0.87089722
                  1624.6                       0.8700425
                  1627.2                      0.86917217
                  1629.8                      0.86828758
                  1632.4                      0.86738952
                    1635                      0.86647768
                  1637.6                       0.8655507
                  1640.2                      0.86460696
                  1642.8                      0.86364539
                  1645.4                      0.86266595
                    1648                      0.86166964
                  1650.6                      0.86065755
                  1653.2                      0.85962991
                  1655.8                       0.8585858
                  1658.4                      0.85752328
                    1661                      0.85644067
                  1663.6                      0.85533742
                  1666.2                      0.85421389
                  1668.8                      0.85307101
                  1671.4                      0.85190946
                    1674                      0.85072877
                  1676.6                      0.84952705
                  1679.2                      0.84830193
                  1681.8                      0.84705199
                  1684.4                      0.84577688
                    1687                      0.84447703
                  1689.6                      0.84315316
                  1692.2                      0.84180489
                  1694.8                      0.84043056
                  1697.4                      0.83902722
                    1700                      0.83759227
                  1702.6                      0.83612401
                  1705.2                      0.83462207
                  1707.8                      0.83308647
                  1710.4                      0.83151646
                    1713                      0.82990988
                  1715.6                      0.82826335
                  1718.2                      0.82657245
                  1720.8                      0.82483341
                  1723.4                      0.82304359
                    1726                      0.82120153
                  1728.6                      0.81930484
                  1731.2                      0.81734957
                  1733.8                      0.81533025
                  1736.4                      0.81323959
                    1739                      0.81106985
                  1741.6                      0.80881437
                  1744.2                      0.80646684
                  1746.8                      0.80402085
                  1749.4                      0.80146772
                    1752                      0.79879643
                  1754.6                       0.7959933
                  1757.2                      0.79304347
                  1759.8                      0.78993241
                  1762.4                      0.78664603
                    1765                      0.78317067
                  1767.6                      0.77949304
                  1770.2                      0.77559829
                  1772.8                      0.77147337
                  1775.4                      0.76711102
                    1778                      0.76251677
                  1780.6                      0.75771377
                  1783.2                      0.75275136
                  1785.8                      0.74771436
                  1788.4                      0.74273067
                    1791                      0.73798101
                  1793.6                      0.73370483
                  1796.2                      0.73018918
                  1798.8                      0.72773523
                  1801.4                      0.72659827
                    1804                      0.72691642
                  1806.6                      0.72865472
                  1809.2                      0.73159493
                  1811.8                      0.73537947
                  1814.4                      0.73959113
                    1817                      0.74383438
                  1819.6                      0.74779322
                  1822.2                      0.75125611
                  1824.8                      0.75411088
                  1827.4                      0.75632328
                    1830                      0.75791143
                  1832.6                      0.75892257
                  1835.2                      0.75941607
                  1837.8                      0.75945314
                  1840.4                      0.75909258
                    1843                      0.75838882
                  1845.6                      0.75739074
                  1848.2                      0.75614108
                  1850.8                      0.75467587
                  1853.4                      0.75302391
                    1856                      0.75120896
                  1858.6                      0.74925098
                  1861.2                      0.74716793
                  1863.8                      0.74497638
                  1866.4                      0.74269106
                    1869                      0.74032425
                  1871.6                      0.73788614
                  1874.2                      0.73538422
                  1876.8                      0.73282572
                  1879.4                      0.73021848
                    1882                       0.7275716
                  1884.6                      0.72489372
                  1887.2                      0.72219243
                  1889.8                      0.71947442
                  1892.4                      0.71674464
                    1895                      0.71400766
                  1897.6                      0.71126957
                  1900.2                      0.70853768
                  1902.8                      0.70582016
                  1905.4                      0.70312376
                    1908                      0.70045414
                  1910.6                      0.69781504
                  1913.2                      0.69520964
                  1915.8                      0.69264213
                  1918.4                      0.69011779
                    1921                      0.68764272
                  1923.6                      0.68522289
                  1926.2                      0.68286151
                  1928.8                      0.68055983
                  1931.4                      0.67831815
                    1934                       0.6761375
                  1936.6                      0.67402003
                  1939.2                       0.6719687
                  1941.8                        0.669987
                  1944.4                      0.66807573
                    1947                      0.66623358
                  1949.6                      0.66445802
                  1952.2                      0.66274671
                  1954.8                       0.6610989
                  1957.4                      0.65951516
                    1960                      0.65799675
                  1962.6                      0.65654352
                  1965.2                      0.65515262
                  1967.8                      0.65382011
                  1970.4                      0.65254158
                    1973                      0.65131451
                  1975.6                      0.65013853
                  1978.2                      0.64901395
                  1980.8                      0.64794055
                  1983.4                       0.6469157
                    1986                      0.64593529
                  1988.6                      0.64499451
                  1991.2                      0.64409003
                  1993.8                      0.64322082
                  1996.4                      0.64238734
                    1999                         0.64159
                  2001.6                      0.64082722
                  2004.2                      0.64009549
                  2006.8                      0.63939035
                  2009.4                      0.63870809
                    2012                       0.6380472
                  2014.6                      0.63740841
                  2017.2                      0.63679267
                  2019.8                      0.63619991
                  2022.4                      0.63562739
                    2025                      0.63507117
                  2027.6                      0.63452749
                  2030.2                      0.63399464
                  2032.8                       0.6334728
                  2035.4                      0.63296345
                    2038                      0.63246761
                  2040.6                      0.63198373
                  2043.2                      0.63150852
                  2045.8                      0.63103818
                  2048.4                       0.6305705
                    2051                      0.63010529
                  2053.6                      0.62964399
                  2056.2                      0.62918808
                  2058.8                       0.6287375
                  2061.4                      0.62828961
                    2064                       0.6278409
                  2066.6                      0.62738843
                  2069.2                      0.62693135
                  2071.8                      0.62647145
                  2074.4                      0.62600966
                    2077                      0.62554704
                  2079.6                      0.62508268
                  2082.2                      0.62461239
                  2084.8                      0.62413365
                  2087.4                      0.62364477
                    2090                       0.6231464
                  2092.6                      0.62264039
                  2095.2                      0.62212821
                  2097.8                        0.621609
                  2100.4                       0.6210806
                    2103                      0.62053992
                  2105.6                      0.61998406
                  2108.2                      0.61941354
                  2110.8                      0.61882963
                  2113.4                      0.61823448
                    2116                      0.61762843
                  2118.6                      0.61700935
                  2121.2                      0.61637389
                  2123.8                      0.61572035
                  2126.4                      0.61504676
                    2129                      0.61435497
                  2131.6                       0.6136472
                  2134.2                      0.61292321
                  2136.8                      0.61218289
                  2139.4                      0.61142371
                    2142                      0.61064145
                  2144.6                        0.609836
                  2147.2                      0.60900674
                  2149.8                      0.60815655
                  2152.4                      0.60728567
                    2155                      0.60639389
                  2157.6                      0.60548012
                  2160.2                      0.60453941
                  2162.8                      0.60357097
                  2165.4                      0.60257366
                    2168                      0.60155003
                  2170.6                      0.60050071
                  2173.2                      0.59942637
                  2175.8                      0.59832556
                  2178.4                      0.59719443
                    2181                      0.59603073
                  2183.6                      0.59483299
                  2186.2                       0.5936027
                  2188.8                      0.59234167
                  2191.4                      0.59105063
                    2194                      0.58972839
                  2196.6                      0.58837217
                  2199.2                      0.58697811
                  2201.8                      0.58554475
                  2204.4                      0.58407231
                    2207                      0.58256248
                  2209.6                      0.58101704
                  2212.2                      0.57943497
                  2214.8                       0.5778135
                  2217.4                      0.57614904
                    2220                      0.57443762
                  2222.6                       0.5726787
                  2225.2                      0.57087354
                  2227.8                      0.56902262
                  2230.4                       0.5671256
                    2233                      0.56517915
                  2235.6                      0.56317702
                  2238.2                      0.56111375
                  2240.8                       0.5589846
                  2243.4                      0.55678723
                    2246                      0.55452116
                  2248.6                       0.5521833
                  2251.2                      0.54976998
                  2253.8                      0.54727591
                  2256.4                      0.54469613
                    2259                      0.54203093
                  2261.6                      0.53928575
                  2264.2                      0.53647114
                  2266.8                      0.53360021
                  2269.4                      0.53068328
                    2272                      0.52772617
                  2274.6                      0.52473116
                  2277.2                      0.52169795
                  2279.8                      0.51862563
                  2282.4                      0.51551439
                    2285                      0.51236507
                  2287.6                      0.50917547
                  2290.2                      0.50594056
                  2292.8                      0.50265328
