        Frequency / MHz                S1,1/abs,dB
                  1515.4                     -0.39229879
                    1518                     -0.40550966
                  1520.6                     -0.41922368
                  1523.2                     -0.43346606
                  1525.8                     -0.44825661
                  1528.4                     -0.46361085
                    1531                     -0.47954302
                  1533.6                     -0.49607037
                  1536.2                     -0.51321749
                  1538.8                     -0.53101571
                  1541.4                     -0.54949975
                    1544                     -0.56870034
                  1546.6                     -0.58864307
                  1549.2                     -0.60934864
                  1551.8                      -0.6308394
                  1554.4                     -0.65314552
                    1557                     -0.67630606
                  1559.6                     -0.70036466
                  1562.2                      -0.7253663
                  1564.8                     -0.75134979
                  1567.4                     -0.77834671
                    1570                     -0.80638541
                  1572.6                     -0.83550335
                  1575.2                     -0.86574841
                  1577.8                     -0.89717649
                  1580.4                     -0.92984813
                    1583                     -0.96381992
                  1585.6                     -0.99913803
                  1588.2                      -1.0358439
                  1590.8                      -1.0739813
                  1593.4                      -1.1136085
                    1596                      -1.1547963
                  1598.6                      -1.1976248
                  1601.2                      -1.2421718
                  1603.8                      -1.2885053
                  1606.4                      -1.3366845
                    1609                      -1.3867666
                  1611.6                      -1.4388165
                  1614.2                      -1.4929225
                  1616.8                      -1.5491878
                  1619.4                      -1.6077194
                    1622                      -1.6686114
                  1624.6                      -1.7319494
                  1627.2                      -1.7978101
                  1629.8                      -1.8662711
                  1632.4                      -1.9374344
                    1635                      -2.0114286
                  1637.6                       -2.088393
                  1640.2                      -2.1684638
                  1642.8                      -2.2517584
                  1645.4                      -2.3383821
                    1648                      -2.4284343
                  1650.6                      -2.5220333
                  1653.2                      -2.6193304
                  1655.8                      -2.7205025
                  1658.4                      -2.8257384
                    1661                      -2.9352087
                  1663.6                      -3.0490527
                  1666.2                      -3.1674075
                  1668.8                      -3.2904203
                  1671.4                      -3.4182731
                    1674                      -3.5511813
                  1676.6                      -3.6893988
                  1679.2                      -3.8331763
                  1681.8                      -3.9827243
                  1684.4                      -4.1382361
                    1687                      -4.2999154
                  1689.6                      -4.4679944
                  1692.2                      -4.6427654
                  1694.8                      -4.8245703
                  1697.4                      -5.0137837
                    1700                      -5.2107511
                  1702.6                      -5.4157981
                  1705.2                      -5.6292469
                  1707.8                       -5.851452
                  1710.4                      -6.0828697
                    1713                      -6.3240432
                  1715.6                      -6.5755578
                  1718.2                      -6.8380576
                  1720.8                      -7.1121753
                  1723.4                      -7.3985538
                    1726                      -7.6978864
                  1728.6                      -8.0110348
                  1731.2                      -8.3390505
                  1733.8                       -8.683114
                  1736.4                      -9.0445587
                    1739                      -9.4248332
                  1741.6                      -9.8254719
                  1744.2                      -10.248218
                  1746.8                      -10.695113
                  1749.4                      -11.168646
                    1752                      -11.671722
                  1754.6                      -12.207659
                  1757.2                      -12.780124
                  1759.8                      -13.393075
                  1762.4                      -14.050852
                    1765                      -14.758046
                  1767.6                      -15.519167
                  1770.2                      -16.337889
                  1772.8                       -17.21492
                  1775.4                      -18.144061
                    1778                      -19.105389
                  1780.6                      -20.055088
                  1783.2                       -20.91348
                  1785.8                      -21.563527
                  1788.4                      -21.882854
                    1791                      -21.812793
                  1793.6                      -21.405793
                  1796.2                      -20.792423
                  1798.8                      -20.109162
                  1801.4                      -19.456159
                    1804                      -18.893403
                  1806.6                      -18.451205
                  1809.2                      -18.141107
                  1811.8                      -17.963325
                  1814.4                      -17.911084
                    1817                      -17.973295
                  1819.6                      -18.135931
                  1822.2                      -18.382823
                  1824.8                      -18.696215
                  1827.4                       -19.05708
                    1830                      -19.445287
                  1832.6                       -19.83992
                  1835.2                      -20.219573
                  1837.8                      -20.563022
                  1840.4                      -20.850629
                    1843                      -21.066121
                  1845.6                      -21.198624
                  1848.2                      -21.244126
                  1850.8                      -21.205811
                  1853.4                      -21.092911
                    1856                      -20.918525
                  1858.6                      -20.697207
                  1861.2                      -20.442974
                  1863.8                      -20.168002
                  1866.4                       -19.88217
                    1869                      -19.593153
                  1871.6                      -19.306728
                  1874.2                      -19.027241
                  1876.8                      -18.757812
                  1879.4                      -18.500543
                    1882                      -18.256608
                  1884.6                      -18.026454
                  1887.2                      -17.810052
                  1889.8                      -17.607144
                  1892.4                      -17.417445
                    1895                      -17.240722
                  1897.6                      -17.076696
                  1900.2                      -16.924925
                  1902.8                      -16.784752
                  1905.4                        -16.6554
                    1908                      -16.536027
                  1910.6                      -16.425969
                  1913.2                      -16.324734
                  1915.8                      -16.231962
                  1918.4                      -16.147291
                    1921                      -16.070197
                  1923.6                      -15.999996
                  1926.2                       -15.93597
                  1928.8                       -15.87749
                  1931.4                      -15.824112
                    1934                      -15.775567
                  1936.6                      -15.731645
                  1939.2                      -15.692036
                  1941.8                      -15.656229
                  1944.4                      -15.623639
                    1947                      -15.593715
                  1949.6                      -15.566059
                  1952.2                       -15.54049
                  1954.8                      -15.516892
                  1957.4                      -15.495121
                    1960                       -15.47485
                  1962.6                      -15.455623
                  1965.2                      -15.436965
                  1967.8                      -15.418537
                  1970.4                      -15.400199
                    1973                      -15.381946
                  1975.6                      -15.363749
                  1978.2                      -15.345454
                  1980.8                      -15.326742
                  1983.4                      -15.307232
                    1986                      -15.286635
                  1988.6                      -15.264856
                  1991.2                      -15.241983
                  1993.8                       -15.21811
                  1996.4                      -15.193216
                    1999                      -15.167135
                  2001.6                      -15.139588
                  2004.2                      -15.110352
                  2006.8                      -15.079358
                  2009.4                      -15.046757
                    2012                      -15.012749
                  2014.6                      -14.977461
                  2017.2                      -14.940845
                  2019.8                      -14.902731
                  2022.4                      -14.862952
                    2025                      -14.821482
                  2027.6                      -14.778479
                  2030.2                      -14.734214
                  2032.8                      -14.688913
                  2035.4                      -14.642666
                    2038                      -14.595406
                  2040.6                      -14.547001
                  2043.2                       -14.49743
                  2045.8                      -14.446825
                  2048.4                      -14.395494
                    2051                      -14.343716
                  2053.6                      -14.291671
                  2056.2                      -14.239372
                  2058.8                      -14.186722
                  2061.4                      -14.133681
                    2064                       -14.08034
                  2066.6                      -14.026928
                  2069.2                      -13.973764
                  2071.8                      -13.921023
                  2074.4                      -13.868824
                    2077                      -13.817068
                  2079.6                      -13.765632
                  2082.2                      -13.714563
                  2084.8                      -13.663987
                  2087.4                       -13.61413
                    2090                       -13.56521
                  2092.6                      -13.517298
                  2095.2                      -13.470298
                  2097.8                        -13.4241
                  2100.4                      -13.378567
                    2103                      -13.333726
                  2105.6                      -13.289757
                  2108.2                      -13.246768
                  2110.8                      -13.204855
                  2113.4                      -13.163899
                    2116                      -13.123722
                  2118.6                      -13.084174
                  2121.2                      -13.045201
                  2123.8                      -13.006811
                  2126.4                      -12.969158
                    2129                      -12.932283
                  2131.6                      -12.896091
                  2134.2                      -12.860483
                  2136.8                      -12.825195
                  2139.4                      -12.790185
                    2142                       -12.75546
                  2144.6                      -12.721055
                  2147.2                      -12.687118
                  2149.8                      -12.653582
                  2152.4                       -12.62039
                    2155                      -12.587374
                  2157.6                      -12.554348
                  2160.2                      -12.521413
                  2162.8                      -12.488607
                  2165.4                      -12.456098
                    2168                      -12.423866
                  2170.6                      -12.391912
                  2173.2                      -12.360096
                  2175.8                      -12.328282
                  2178.4                      -12.296492
                    2181                      -12.264818
                  2183.6                      -12.233424
                  2186.2                      -12.202374
                  2188.8                       -12.17167
                  2191.4                      -12.141199
                    2194                      -12.110859
                  2196.6                      -12.080606
                  2199.2                      -12.050521
                  2201.8                       -12.02075
                  2204.4                      -11.991421
                    2207                      -11.962544
                  2209.6                      -11.934038
                  2212.2                      -11.905762
                  2214.8                      -11.877626
                  2217.4                      -11.849663
                    2220                      -11.821981
                  2222.6                      -11.794708
                  2225.2                      -11.767905
                  2227.8                      -11.741483
                  2230.4                      -11.715307
                    2233                      -11.689231
                  2235.6                      -11.663235
                  2238.2                      -11.637435
                  2240.8                      -11.612021
                  2243.4                      -11.587192
                    2246                      -11.563101
                  2248.6                       -11.53984
                  2251.2                      -11.517577
                  2253.8                      -11.496622
                  2256.4                      -11.477464
                    2259                      -11.460712
                  2261.6                      -11.446933
                  2264.2                      -11.436466
                  2266.8                      -11.429354
                  2269.4                      -11.425341
                    2272                       -11.42401
                  2274.6                      -11.424937
                  2277.2                      -11.427768
                  2279.8                      -11.432242
                  2282.4                       -11.43813
                    2285                      -11.445192
                  2287.6                      -11.453141
                  2290.2                      -11.461748
                  2292.8                      -11.470902
                  2295.4                      -11.480655
                    2298                      -11.491187
                  2300.6                      -11.502724
                  2303.2                      -11.515406
                  2305.8                      -11.529255
                  2308.4                      -11.544202
                    2311                      -11.560197
                  2313.6                      -11.577317
                  2316.2                      -11.595726
                  2318.8                      -11.615709
                  2321.4                      -11.637486
                    2324                      -11.661169
                  2326.6                      -11.686747
                  2329.2                      -11.714191
                  2331.8                      -11.743535
                  2334.4                      -11.774974
                    2337                       -11.80885
                  2339.6                      -11.845523
                  2342.2                      -11.885317
                  2344.8                       -11.92842
                  2347.4                      -11.974974
                    2350                      -12.025174
                  2352.6                      -12.079393
                  2355.2                      -12.138225
                  2357.8                      -12.202439
                  2360.4                      -12.272854
                    2363                      -12.350245
                  2365.6                      -12.435379
                  2368.2                      -12.529053
                  2370.8                      -12.632317
                  2373.4                      -12.746523
                    2376                      -12.873349
                  2378.6                      -13.014627
