        Frequency / MHz                S2,1 (31778)/abs,dB
                  1247.6                      -47.085155
                  1250.2                      -46.476806
                  1252.8                      -45.841885
                  1255.4                      -45.188332
                    1258                      -44.522368
                  1260.6                       -43.84866
                  1263.2                      -43.170382
                  1265.8                      -42.489658
                  1268.4                      -41.808551
                    1271                      -41.130754
                  1273.6                      -40.463445
                  1276.2                      -39.818095
                  1278.8                      -39.210132
                  1281.4                      -38.656907
                    1284                      -38.174888
                  1286.6                      -37.776291
                  1289.2                      -37.466472
                  1291.8                      -37.242553
                  1294.4                      -37.093891
                    1297                      -37.004026
                  1299.6                      -36.953535
                  1302.2                      -36.923272
                  1304.8                      -36.896912
                  1307.4                      -36.862593
                    1310                      -36.813225
                  1312.6                      -36.745855
                  1315.2                      -36.660161
                  1317.8                      -36.556995
                  1320.4                      -36.437478
                    1323                      -36.302617
                  1325.6                      -36.153502
                  1328.2                      -35.991587
                  1330.8                      -35.818758
                  1333.4                      -35.637138
                    1336                      -35.448671
                  1338.6                        -35.2548
                  1341.2                      -35.056392
                  1343.8                      -34.853961
                  1346.4                      -34.648002
                    1349                      -34.439202
                  1351.6                       -34.22846
                  1354.2                      -34.016679
                  1356.8                      -33.804522
                  1359.4                      -33.592322
                    1362                      -33.380181
                  1364.6                      -33.168207
                  1367.2                       -32.95672
                  1369.8                       -32.74628
                  1372.4                      -32.537511
                    1375                       -32.33089
                  1377.6                      -32.126634
                  1380.2                      -31.924812
                  1382.8                      -31.725591
                  1385.4                      -31.529499
                    1388                      -31.337455
                  1390.6                      -31.150587
                  1393.2                      -30.969965
                  1395.8                      -30.796433
                  1398.4                      -30.630754
                    1401                      -30.474016
                  1403.6                      -30.328095
                  1406.2                      -30.195927
                  1408.8                      -30.081418
                  1411.4                      -29.989132
                    1414                      -29.924049
                  1416.6                      -29.891788
                  1419.2                      -29.899302
                  1421.8                       -29.95576
                  1424.4                      -30.073144
                    1427                      -30.265775
                  1429.6                      -30.548145
                  1432.2                      -30.931003
                  1434.8                      -31.415211
                  1437.4                      -31.983374
                    1440                      -32.589117
                  1442.6                      -33.148951
                  1445.2                      -33.549115
                  1447.8                      -33.683929
                  1450.4                      -33.513979
                    1453                       -33.08919
                  1455.6                      -32.509949
                  1458.2                      -31.871398
                  1460.8                      -31.236793
                  1463.4                      -30.638305
                    1466                       -30.08756
                  1468.6                      -29.585396
                  1471.2                       -29.12839
                  1473.8                      -28.712191
                  1476.4                       -28.33249
                    1479                      -27.985111
                  1481.6                      -27.665896
                  1484.2                      -27.370709
                  1486.8                       -27.09577
                  1489.4                      -26.837975
                    1492                      -26.595085
                  1494.6                      -26.365535
                  1497.2                      -26.148078
                  1499.8                      -25.941471
                  1502.4                      -25.744326
                    1505                      -25.555268
                  1507.6                      -25.373161
                  1510.2                      -25.197256
                  1512.8                      -25.027156
                  1515.4                      -24.862626
                    1518                      -24.703327
                  1520.6                      -24.548704
                  1523.2                      -24.398054
                  1525.8                      -24.250756
                  1528.4                      -24.106429
                    1531                      -23.964983
                  1533.6                      -23.826488
                  1536.2                      -23.690949
                  1538.8                      -23.558149
                  1541.4                      -23.427657
                    1544                      -23.298989
                  1546.6                      -23.171816
                  1549.2                      -23.046072
                  1551.8                      -22.921909
                  1554.4                        -22.7995
                    1557                      -22.678856
                  1559.6                      -22.559747
                  1562.2                      -22.441786
                  1564.8                      -22.324623
                  1567.4                       -22.20812
                    1570                      -22.092387
                  1572.6                      -21.977654
                  1575.2                       -21.86409
                  1577.8                      -21.751658
                  1580.4                      -21.640108
                    1583                      -21.529108
                  1585.6                      -21.418445
                  1588.2                      -21.308124
                  1590.8                      -21.198347
                  1593.4                      -21.089357
                    1596                      -20.981276
                  1598.6                      -20.874008
                  1601.2                      -20.767314
                  1603.8                      -20.660952
                  1606.4                      -20.554833
                    1609                      -20.449074
                  1611.6                       -20.34392
                  1614.2                      -20.239577
                  1616.8                      -20.136102
                  1619.4                      -20.033369
                    1622                      -19.931181
                  1624.6                      -19.829398
                  1627.2                      -19.728047
                  1629.8                      -19.627321
                  1632.4                      -19.527459
                    1635                      -19.428609
                  1637.6                      -19.330768
                  1640.2                      -19.233808
                  1642.8                      -19.137592
                  1645.4                      -19.042087
                    1648                      -18.947419
                  1650.6                      -18.853806
                  1653.2                      -18.761448
                  1655.8                      -18.670433
                  1658.4                      -18.580706
                    1661                       -18.49216
                  1663.6                      -18.404732
                  1666.2                      -18.318485
                  1668.8                      -18.233595
                  1671.4                      -18.150274
                    1674                      -18.068668
                  1676.6                      -17.988795
                  1679.2                      -17.910575
                  1681.8                      -17.833934
                  1684.4                       -17.75888
                    1687                      -17.685538
                  1689.6                      -17.614107
                  1692.2                      -17.544765
                  1694.8                      -17.477592
                  1697.4                      -17.412556
                    1700                      -17.349578
                  1702.6                      -17.288623
                  1705.2                      -17.229759
