# Version 1.00
#
freq[Hz]	re:Trc2_S12	im:Trc2_S12	re:Trc3_S21	im:Trc3_S21	re:Trc4_S22	im:Trc4_S22	re:Trc5_S11	im:Trc5_S11	
4.047666666666667E+008	-1.007974846288562E-003	-1.568049425259233E-003	-1.013228786177933E-003	-1.577076036483049E-003	-9.071441888809204E-001	3.339593112468720E-001	-6.620377302169800E-001	7.021422982215881E-001	
4.052000000000000E+008	-1.006098580546677E-003	-1.586736529134214E-003	-1.036589965224266E-003	-1.533472095616162E-003	-9.058029651641846E-001	3.371381163597107E-001	-6.588703989982605E-001	7.052238583564758E-001	
4.056333333333333E+008	-1.032302039675415E-003	-1.545235863886774E-003	-1.094667008146644E-003	-1.542153069749475E-003	-9.046491384506226E-001	3.407171666622162E-001	-6.553444862365723E-001	7.084358930587769E-001	
4.060666666666667E+008	-1.041474868543446E-003	-1.611130544915795E-003	-1.087299315258861E-003	-1.520297839306295E-003	-9.032663702964783E-001	3.439364135265350E-001	-6.520357131958008E-001	7.117246389389038E-001	
4.065000000000000E+008	-1.148468581959605E-003	-1.599013688974083E-003	-1.112365396693349E-003	-1.539340242743492E-003	-9.020933508872986E-001	3.474239706993103E-001	-6.484285593032837E-001	7.151709198951721E-001	
4.069333333333333E+008	-1.094077248126268E-003	-1.563589554280043E-003	-1.147590577602387E-003	-1.600362011231482E-003	-9.007099866867065E-001	3.508034646511078E-001	-6.448865532875061E-001	7.183182239532471E-001	
4.073666666666667E+008	-1.092096907086670E-003	-1.580703887157142E-003	-1.150193042121828E-003	-1.665107207372785E-003	-8.993759751319885E-001	3.540894389152527E-001	-6.414798498153687E-001	7.216393947601318E-001	
4.078000000000000E+008	-1.130739226937294E-003	-1.555469934828579E-003	-1.104055205360055E-003	-1.533077564090490E-003	-8.980731368064880E-001	3.576362133026123E-001	-6.377953290939331E-001	7.248980402946472E-001	
4.082333333333333E+008	-1.159332576207817E-003	-1.658050809055567E-003	-1.163073116913438E-003	-1.587911625392735E-003	-8.967046737670898E-001	3.609850704669952E-001	-6.342807412147522E-001	7.281635999679565E-001	
4.086666666666667E+008	-1.173723838292062E-003	-1.611978746950626E-003	-1.169622177258134E-003	-1.643648371100426E-003	-8.952965140342712E-001	3.643211722373962E-001	-6.308051943778992E-001	7.312037348747253E-001	
4.091000000000000E+008	-1.201152917928994E-003	-1.651802565902472E-003	-1.208685338497162E-003	-1.617503119632602E-003	-8.939510583877564E-001	3.678536713123322E-001	-6.274747848510742E-001	7.344891428947449E-001	
4.095333333333333E+008	-1.205347594805062E-003	-1.615133835002780E-003	-1.193280797451735E-003	-1.660997048020363E-003	-8.922380805015564E-001	3.713340461254120E-001	-6.236783862113953E-001	7.377270460128784E-001	
4.099666666666667E+008	-1.169242314063013E-003	-1.703562098555267E-003	-1.274062786251307E-003	-1.601339899934828E-003	-8.910659551620483E-001	3.747321069240570E-001	-6.197729110717773E-001	7.408546209335327E-001	
4.104000000000000E+008	-1.240651239641011E-003	-1.603764016181231E-003	-1.231814851053059E-003	-1.647009165026248E-003	-8.851944804191589E-001	3.786499202251434E-001	-6.153047680854797E-001	7.416878938674927E-001	
