        Frequency                Csh2=0.5/abs,dB
                  1238.4                      -2.3611795
                  1240.5                      -2.3636672
                  1242.6                      -2.3663553
                  1244.7                      -2.3692449
                  1246.8                      -2.3723346
                  1248.9                       -2.375623
                    1251                      -2.3791093
                  1253.1                      -2.3827933
                  1255.2                      -2.3866736
                  1257.3                      -2.3907493
                  1259.4                      -2.3950205
                  1261.5                      -2.3994849
                  1263.6                      -2.4041426
                  1265.7                      -2.4089933
                  1267.8                      -2.4140363
                  1269.9                      -2.4192698
                    1272                      -2.4246946
                  1274.1                      -2.4303096
                  1276.2                      -2.4361148
                  1278.3                      -2.4421084
                  1280.4                      -2.4482914
                  1282.5                      -2.4546629
                  1284.6                      -2.4612226
                  1286.7                        -2.46797
                  1288.8                      -2.4749058
                  1290.9                      -2.4820296
                    1293                      -2.4893403
                  1295.1                      -2.4968388
                  1297.2                      -2.5045256
                  1299.3                      -2.5123999
                  1301.4                      -2.5204629
                  1303.5                      -2.5287139
                  1305.6                      -2.5371543
                  1307.7                      -2.5457835
                  1309.8                      -2.5546024
                  1311.9                       -2.563612
                    1314                      -2.5728127
                  1316.1                      -2.5822059
                  1318.2                      -2.5917916
                  1320.3                       -2.601571
                  1322.4                      -2.6115453
                  1324.5                       -2.621716
                  1326.6                      -2.6320835
                  1328.7                      -2.6426497
                  1330.8                       -2.653416
                  1332.9                      -2.6643845
                    1335                      -2.6755556
                  1337.1                      -2.6869318
                  1339.2                      -2.6985148
                  1341.3                       -2.710306
                  1343.4                      -2.7223085
                  1345.5                      -2.7345233
                  1347.6                      -2.7469531
                  1349.7                      -2.7596002
                  1351.8                      -2.7724668
                  1353.9                      -2.7855558
                    1356                      -2.7988691
                  1358.1                      -2.8124099
                  1360.2                      -2.8261807
                  1362.3                      -2.8401841
                  1364.4                      -2.8544235
                  1366.5                      -2.8689015
                  1368.6                      -2.8836213
                  1370.7                      -2.8985863
                  1372.8                      -2.9137998
                  1374.9                      -2.9292646
                    1377                      -2.9449848
                  1379.1                      -2.9609627
                  1381.2                      -2.9772028
                  1383.3                      -2.9937086
                  1385.4                       -3.010483
                  1387.5                      -3.0275309
                  1389.6                      -3.0448555
                  1391.7                       -3.062461
                  1393.8                      -3.0803507
                  1395.9                      -3.0985288
                    1398                      -3.1169995
                  1400.1                      -3.1357672
                  1402.2                      -3.1548349
                  1404.3                      -3.1742084
                  1406.4                      -3.1938909
                  1408.5                      -3.2138874
                  1410.6                      -3.2342014
                  1412.7                      -3.2548372
                  1414.8                      -3.2758006
                  1416.9                      -3.2970954
                    1419                       -3.318726
                  1421.1                      -3.3406971
                  1423.2                      -3.3630134
                  1425.3                      -3.3856798
                  1427.4                      -3.4087011
                  1429.5                      -3.4320814
                  1431.6                      -3.4558272
                  1433.7                      -3.4799425
                  1435.8                      -3.5044318
                  1437.9                      -3.5293022
                    1440                      -3.5545574
                  1442.1                      -3.5802041
                  1444.2                      -3.6062468
                  1446.3                      -3.6326905
                  1448.4                      -3.6595421
                  1450.5                      -3.6868076
                  1452.6                      -3.7144916
                  1454.7                      -3.7426018
                  1456.8                      -3.7711441
                  1458.9                      -3.8001254
                    1461                      -3.8295523
                  1463.1                       -3.859429
                  1465.2                       -3.889766
                  1467.3                      -3.9205696
                  1469.4                      -3.9518452
                  1471.5                       -3.983604
                  1473.6                      -4.0158529
                  1475.7                      -4.0485998
                  1477.8                      -4.0818534
                  1479.9                      -4.1156224
                    1482                       -4.149918
                  1484.1                      -4.1847483
                  1486.2                      -4.2201228
                  1488.3                      -4.2560537
                  1490.4                      -4.2925522
                  1492.5                      -4.3296288
                  1494.6                      -4.3672956
                  1496.7                      -4.4055645
                  1498.8                        -4.44445
                  1500.9                      -4.4839638
                    1503                      -4.5241217
                  1505.1                      -4.5649383
                  1507.2                      -4.6064278
                  1509.3                      -4.6486067
                  1511.4                      -4.6914915
                  1513.5                      -4.7350991
                  1515.6                      -4.7794498
                  1517.7                      -4.8245619
                  1519.8                      -4.8704533
                  1521.9                      -4.9171468
                    1524                      -4.9646641
                  1526.1                      -5.0130261
                  1528.2                      -5.0622567
                  1530.3                      -5.1123782
                  1532.4                      -5.1634206
                  1534.5                       -5.215409
                  1536.6                      -5.2683665
                  1538.7                      -5.3223259
                  1540.8                      -5.3773167
                  1542.9                      -5.4333689
                    1545                      -5.4905178
                  1547.1                      -5.5487882
                  1549.2                      -5.6082241
                  1551.3                      -5.6688563
                  1553.4                      -5.7307214
                  1555.5                      -5.7938649
                  1557.6                      -5.8583206
                  1559.7                      -5.9241337
                  1561.8                      -5.9913478
                  1563.9                      -6.0600033
                    1566                       -6.130152
                  1568.1                      -6.2018426
                  1570.2                      -6.2751204
                  1572.3                       -6.350044
                  1574.4                      -6.4266644
                  1576.5                      -6.5050364
                  1578.6                      -6.5852208
                  1580.7                      -6.6672732
                  1582.8                      -6.7512585
                  1584.9                      -6.8372479
                    1587                      -6.9252972
                  1589.1                       -7.015481
                  1591.2                       -7.107872
                  1593.3                      -7.2025453
                  1595.4                      -7.2995745
                  1597.5                      -7.3990354
                  1599.6                      -7.5010232
                  1601.7                      -7.6056147
                  1603.8                      -7.7128962
                  1605.9                      -7.8229706
                    1608                      -7.9359301
                  1610.1                      -8.0518671
                  1612.2                      -8.1708896
                  1614.3                      -8.2930975
                  1616.4                      -8.4186083
                  1618.5                      -8.5475348
                  1620.6                      -8.6799854
                  1622.7                      -8.8161019
                  1624.8                       -8.955994
                  1626.9                      -9.0998039
                    1629                      -9.2476688
                  1631.1                      -9.3997075
                  1633.2                      -9.5560865
                  1635.3                      -9.7169529
                  1637.4                      -9.8824511
                  1639.5                      -10.052758
                  1641.6                      -10.228023
                  1643.7                      -10.408424
                  1645.8                      -10.594135
                  1647.9                      -10.785307
                    1650                      -10.982158
                  1652.1                      -11.184854
                  1654.2                      -11.393559
                  1656.3                      -11.608483
                  1658.4                      -11.829801
                  1660.5                      -12.057675
                  1662.6                      -12.292284
                  1664.7                       -12.53377
                  1666.8                      -12.782287
                  1668.9                      -13.037946
                    1671                      -13.300833
                  1673.1                      -13.570981
                  1675.2                      -13.848391
                  1677.3                      -14.132969
                  1679.4                      -14.424542
                  1681.5                      -14.722828
                  1683.6                      -15.027415
                  1685.7                      -15.337697
                  1687.8                      -15.652827
                  1689.9                      -15.971762
                    1692                      -16.293071
                  1694.1                      -16.614965
                  1696.2                      -16.935209
                  1698.3                      -17.251046
                  1700.4                      -17.559211
                  1702.5                      -17.855806
                  1704.6                      -18.136365
                  1706.7                      -18.395966
                  1708.8                      -18.629287
                  1710.9                      -18.830902
                    1713                      -18.995581
                  1715.1                      -19.118654
                  1717.2                      -19.196483
                  1719.3                      -19.226749
                  1721.4                      -19.208716
                  1723.5                      -19.143335
                  1725.6                      -19.033113
                  1727.7                      -18.881856
                  1729.8                      -18.694317
                  1731.9                      -18.475763
                    1734                      -18.231594
                  1736.1                      -17.967095
                  1738.2                      -17.687138
                  1740.3                      -17.396084
                  1742.4                      -17.097715
                  1744.5                       -16.79525
                  1746.6                      -16.491347
                  1748.7                      -16.188194
                  1750.8                      -15.887475
                  1752.9                      -15.590563
                    1755                      -15.298494
                  1757.1                      -15.012055
                  1759.2                      -14.731809
                  1761.3                       -14.45816
                  1763.4                      -14.191371
                  1765.5                      -13.931607
                  1767.6                      -13.678907
                  1769.7                      -13.433289
                  1771.8                      -13.194713
                  1773.9                      -12.963067
                    1776                      -12.738244
                  1778.1                      -12.520095
                  1780.2                      -12.308475
                  1782.3                      -12.103227
                  1784.4                      -11.904149
                  1786.5                      -11.711071
                  1788.6                      -11.523827
                  1790.7                      -11.342222
                  1792.8                      -11.166089
                  1794.9                      -10.995252
                    1797                      -10.829532
                  1799.1                      -10.668789
                  1801.2                      -10.512833
                  1803.3                       -10.36152
                  1805.4                      -10.214705
                  1807.5                      -10.072228
                  1809.6                       -9.933952
                  1811.7                      -9.7997464
                  1813.8                      -9.6694778
                  1815.9                      -9.5430303
                    1818                      -9.4202656
                  1820.1                      -9.3010799
                  1822.2                      -9.1853581
                  1824.3                      -9.0729944
                  1826.4                      -8.9638858
                  1828.5                      -8.8579384
                  1830.6                      -8.7550557
                  1832.7                      -8.6551549
                  1834.8                      -8.5581324
                  1836.9                      -8.4639141
                    1839                      -8.3724307
                  1841.1                      -8.2835945
                  1843.2                      -8.1973327
                  1845.3                      -8.1135796
                  1847.4                      -8.0322667
                  1849.5                      -7.9533359
                  1851.6                      -7.8767109
                  1853.7                      -7.8023404
                  1855.8                      -7.7301729
                  1857.9                      -7.6601424
                    1860                      -7.5922031
                  1862.1                      -7.5263032
                  1864.2                      -7.4623927
                  1866.3                       -7.400432
                  1868.4                       -7.340366
                  1870.5                      -7.2821549
                  1872.6                      -7.2257615
                  1874.7                      -7.1711391
                  1876.8                      -7.1182512
                  1878.9                      -7.0670595
                    1881                      -7.0175323
                  1883.1                      -6.9696357
                  1885.2                      -6.9233307
                  1887.3                      -6.8785879
                  1889.4                      -6.8353774
                  1891.5                      -6.7936658
                  1893.6                      -6.7534256
                  1895.7                      -6.7146288
                  1897.8                      -6.6772475
                  1899.9                       -6.641259
                    1902                      -6.6066319
                  1904.1                      -6.5733435
                  1906.2                      -6.5413734
                  1908.3                      -6.5106934
                  1910.4                      -6.4812828
                  1912.5                      -6.4531198
                  1914.6                      -6.4261829
                  1916.7                      -6.4004526
                  1918.8                       -6.375906
                  1920.9                      -6.3525228
                    1923                      -6.3302897
                  1925.1                       -6.309182
                  1927.2                      -6.2891836
                  1929.3                      -6.2702768
                  1931.4                       -6.252444
                  1933.5                      -6.2356683
                  1935.6                      -6.2199328
                  1937.7                      -6.2052202
                  1939.8                      -6.1915161
                  1941.9                       -6.178803
                    1944                      -6.1670653
                  1946.1                      -6.1562895
                  1948.2                      -6.1464586
                  1950.3                      -6.1375596
                  1952.4                      -6.1295752
                  1954.5                      -6.1224925
                  1956.6                      -6.1162969
                  1958.7                      -6.1109737
                  1960.8                      -6.1065072
                  1962.9                      -6.1028856
                    1965                      -6.1000926
                  1967.1                      -6.0981154
                  1969.2                      -6.0969401
                  1971.3                      -6.0965511
                  1973.4                      -6.0969337
                  1975.5                       -6.098074
                  1977.6                      -6.0999585
                  1979.7                      -6.1025713
                  1981.8                      -6.1058985
                  1983.9                      -6.1099257
                    1986                      -6.1146365
                  1988.1                      -6.1200154
                  1990.2                      -6.1260488
                  1992.3                      -6.1327206
                  1994.4                      -6.1400139
                  1996.5                      -6.1479129
                  1998.6                      -6.1564014
                  2000.7                      -6.1654624
                  2002.8                      -6.1750799
                  2004.9                       -6.185237
                    2007                      -6.1959146
                  2009.1                      -6.2070944
                  2011.2                      -6.2187626
                  2013.3                      -6.2308966
                  2015.4                      -6.2434802
                  2017.5                      -6.2564926
                  2019.6                      -6.2699163
                  2021.7                      -6.2837321
                  2023.8                      -6.2979184
                  2025.9                       -6.312457
                    2028                      -6.3273292
                  2030.1                      -6.3425114
                  2032.2                      -6.3579848
                  2034.3                      -6.3737278
                  2036.4                      -6.3897231
                  2038.5                       -6.405947
                  2040.6                      -6.4223765
                  2042.7                      -6.4389973
                  2044.8                      -6.4557819
                  2046.9                       -6.472715
                    2049                      -6.4897728
                  2051.1                      -6.5069343
                  2053.2                      -6.5241813
                  2055.3                      -6.5414924
                  2057.4                      -6.5588466
                  2059.5                      -6.5762264
                  2061.6                      -6.5936124
                  2063.7                      -6.6109879
                  2065.8                       -6.628328
                  2067.9                      -6.6456211
                    2070                      -6.6628489
                  2072.1                       -6.679992
                  2074.2                      -6.6970378
                  2076.3                      -6.7139717
                  2078.4                      -6.7307734
                  2080.5                      -6.7474315
                  2082.6                      -6.7639372
                  2084.7                      -6.7802727
                  2086.8                      -6.7964278
                  2088.9                      -6.8123962
                    2091                      -6.8281619
                  2093.1                      -6.8437193
                  2095.2                      -6.8590615
                  2097.3                      -6.8741774
                  2099.4                      -6.8890662
                  2101.5                      -6.9037188
                  2103.6                      -6.9181339
                  2105.7                      -6.9323028
                  2107.8                      -6.9462316
                  2109.9                      -6.9599095
                    2112                      -6.9733428
                  2114.1                      -6.9865265
                  2116.2                      -6.9994653
                  2118.3                      -7.0121593
                  2120.4                      -7.0246093
                  2122.5                      -7.0368212
                  2124.6                      -7.0487941
                  2126.7                       -7.060541
                  2128.8                       -7.072056
                  2130.9                      -7.0833529
                    2133                      -7.0944332
                  2135.1                      -7.1053049
                  2137.2                       -7.115975
                  2139.3                      -7.1264502
                  2141.4                      -7.1367362
                  2143.5                      -7.1468405
                  2145.6                      -7.1567695
                  2147.7                      -7.1665364
                  2149.8                      -7.1761409
                  2151.9                      -7.1855974
                    2154                      -7.1949106
                  2156.1                      -7.2040875
                  2158.2                      -7.2131355
                  2160.3                      -7.2220629
                  2162.4                      -7.2308715
                  2164.5                      -7.2395758
                  2166.6                      -7.2481784
                  2168.7                      -7.2566795
                  2170.8                      -7.2650921
                  2172.9                      -7.2734192
                    2175                      -7.2816614
                  2177.1                      -7.2898274
                  2179.2                      -7.2979142
                  2181.3                      -7.3059336
                  2183.4                      -7.3138819
                  2185.5                      -7.3217586
                  2187.6                       -7.329569
                  2189.7                      -7.3373132
                  2191.8                       -7.344986
                  2193.9                      -7.3525921
                    2196                      -7.3601286
                  2198.1                      -7.3675951
                  2200.2                      -7.3749814
                  2202.3                      -7.3822939
                  2204.4                      -7.3895243
                  2206.5                      -7.3966659
                  2208.6                      -7.4037182
                  2210.7                      -7.4106749
                  2212.8                      -7.4175245
                  2214.9                      -7.4242713
                    2217                      -7.4309011
                  2219.1                      -7.4374053
                  2221.2                      -7.4437845
                  2223.3                      -7.4500223
